,Growth,Inflation,Rate,Money,Credit,Exchange
2013-01-23,16.687609007684593,-1.859132993700416,-1.4301565121000144,3.0348429503099075,4.530144427333302,6.915380213735287
2013-01-24,16.69394728971693,-1.829550235498985,-1.593665679093394,2.9946376119382627,4.530403235516777,6.903215455300401
2013-01-25,16.700795737384396,-1.8680116539187892,-1.7473674528652172,3.1137842839286884,4.330078613371204,6.887385607970426
2013-01-28,16.70815528231963,-1.882626987251743,-1.419136711144629,3.0944164064689623,4.350375311450083,6.866365439543733
2013-01-29,16.716026972507247,-1.800531027335717,-0.3105202357201332,3.080025744663619,4.278137223506143,6.811279599025118
2013-01-30,16.72440523164736,-1.7686716210656581,-0.26999314843524824,3.272919845374915,4.318215721407984,6.90288756890906
2013-01-31,16.733291476789343,-1.7569818157964274,-0.32226835593707814,3.2805055522329676,4.354599873478439,6.941491792310457
2013-02-01,16.752199188755736,-1.6947857850538255,-0.4197860949133555,3.492396989658326,4.256312330871042,6.88166332316375
2013-02-04,16.77171913917341,-1.7828752897025162,-0.24701788481834627,3.600482739797047,4.292035107458248,6.832445814003568
2013-02-05,16.791853005203237,-1.78103037671627,-0.22602507395921817,3.575807316530273,4.291994176543381,6.832369238248311
2013-02-06,16.812602621726366,-1.7598058291604732,0.1332638835390224,3.5033627788235178,4.352325788261777,6.806084747040437
2013-02-07,16.833969981648515,-1.7580725487479598,0.41015002785902754,3.521340321981031,4.346219972089857,6.633511856964349
2013-02-08,16.85595723633004,-1.7348310105795433,-0.45659581495209567,3.634555623959371,4.431548393956885,6.648033897280979
2013-02-18,17.001039162288333,-1.7359104620695711,-2.0759247489917607,3.578131789062601,4.708529088384814,6.710340542200328
2013-02-19,17.027439376996526,-1.7408871271637456,-1.9837172194919055,3.6048348352148407,4.8400503231011225,6.750743981639287
2013-02-20,17.054482494884812,-1.884382629020305,-1.8989361917556062,3.6889849508578862,4.7150558750926805,6.573816615022774
2013-02-21,17.082172133591076,-2.029274372931032,-2.0791479810243287,3.6787209196228674,4.868560911471079,6.535724510538925
2013-02-22,17.11051208049165,-2.0617490443006172,-1.4315196752902386,3.6455891629820183,4.947949864748162,6.5380452179696995
2013-02-25,17.139506294549694,-2.1360217671666653,-0.45254793921814324,3.7453218317612764,4.977553319423545,6.378141304007968
2013-02-26,17.169158908301338,-2.193429365190211,0.18544720168026674,3.698561875466331,4.889491444325614,5.434921774632896
2013-02-27,17.199474229981885,-2.1785595400316518,0.9874802725831346,3.682214691720368,5.025609349380405,5.505152163373669
2013-02-28,17.23045674579489,-2.2806949301334782,1.4396661477765946,3.674742140160493,5.036105434927375,5.3482643780054975
2013-03-01,17.267018072887,-2.457170272372972,1.6054199359273662,3.7183543558111825,4.9903231459434885,5.391792866704446
2013-03-04,17.30432061218777,-2.4015585108340236,1.6463728759150718,3.7498950163731033,4.906256035469537,5.386516842040905
2013-03-05,17.342369629577757,-2.373917326411926,0.10625621879465258,3.700444628825844,4.982899698928175,5.520303794290386
2013-03-06,17.381170583054104,-2.3459192149856682,-0.15785940062932674,3.6237032055728196,4.944041292825123,5.404240450197182
2013-03-07,17.420729125802108,-2.4280844482336468,-0.6281560976752553,3.6189366125150855,4.963597971830653,5.568861496239648
2013-03-08,17.461051109462694,-2.5043414172808722,-0.7201293252779336,3.612418333886998,5.017307918779149,5.419852897984796
2013-03-11,17.502142587601995,-2.6027359578871305,0.33462647832590753,3.5391365680722924,5.107693240145072,5.328140219307803
2013-03-12,17.54400981938944,-2.658309100882782,0.1243198171709311,3.5549210833710188,5.031504970916143,5.467484091847627
2013-03-13,17.58665927349141,-2.7685861726266467,0.034619748432580325,3.557918264588808,4.910442709501842,5.395392080724745
2013-03-14,17.630097632187834,-2.729502955624094,0.37624139639440934,3.6191637493860638,4.813924023227851,5.484471932366276
2013-03-15,17.67433179571963,-2.692061470637273,0.8230694630951514,3.5858036740584,4.783901062331055,5.625279407084888
2013-03-18,17.71936888687541,-2.734649446954011,0.30430212460227385,3.584189554353207,4.86811989885108,5.469447441780218
2013-03-19,17.765216255826417,-2.8179968924141274,-0.07440238862601756,3.6202766968173625,4.7923641376873425,5.306387686274694
2013-03-20,17.81188148521909,-2.7438197774098683,0.29410132381141085,3.715354786361601,4.73101774151135,5.277183841132279
2013-03-21,17.859372395535438,-2.8017800473040615,-0.15395122419539767,3.6992843359679455,4.8605258563126705,5.293167449474346
2013-03-22,17.90769705073187,-2.7547457618394575,0.011598236520283297,3.64684290100144,4.9230973879029385,5.367188460386513
2013-03-25,17.956863764167746,-2.8170294542974466,-0.5074551564785977,3.6576217201239847,4.892896819685099,5.260213281777156
2013-03-26,18.00688110483582,-2.806955130697485,-0.3288064054749996,3.6941597305430904,4.876308046207402,5.193741936035474
2013-03-27,18.05775790390712,-2.8059637255654275,-0.9326775504036751,3.6932816471279386,4.9437771122731915,5.056053399425348
2013-03-28,18.109503261603955,-2.769442290014803,-0.4131052685678305,3.683536796485413,5.039851755577177,5.127606254974828
2013-03-29,18.162126554415156,-2.7520388464231504,-0.31452871230859764,3.6780525743151538,5.159663864415878,5.125156011588114
2013-04-01,18.21085230901745,-2.727442290131151,-0.0723510601532634,3.7007340979666465,5.192711146734697,5.140236064455218
2013-04-02,18.26034685017033,-2.793864107988825,0.0031327488075948724,3.8490576336000113,5.211639910676821,5.077354473682665
2013-04-03,18.310618829344943,-3.0353558113618004,-0.8145213137243819,3.8990546313642263,5.306999267502272,5.081839561935343
2013-04-08,18.46618951728809,-3.104760175258174,-0.5710729472149465,4.031542591285732,5.492903319734918,5.28129298944895
