,,,,sharpe,returns,drawdown,calmar
20,LinearRegression,250,20,1.345,0.254,0.376,0.675
20,LinearRegression,250,60,0.395,0.079,0.534,0.149
20,LinearRegression,250,120,0.348,0.081,0.864,0.094
20,LinearRegression,500,1,1.119,0.24,0.538,0.446
20,LinearRegression,500,20,1.119,0.24,0.538,0.446
20,LinearRegression,500,60,0.85,0.186,0.538,0.347
20,LinearRegression,500,120,0.345,0.081,0.643,0.126
20,LinearRegression,750,1,1.01,0.209,0.538,0.388
20,LinearRegression,750,20,1.01,0.209,0.538,0.388
20,LinearRegression,750,60,0.489,0.113,0.594,0.19
20,LinearRegression,750,120,0.247,0.06,0.643,0.094
20,LogisticRegression,120,1,1.348,0.273,0.244,1.117
20,LogisticRegression,120,20,1.348,0.273,0.244,1.117
20,LogisticRegression,120,60,0.305,0.054,0.465,0.115
20,LogisticRegression,120,120,0.201,0.039,0.475,0.083
20,LogisticRegression,250,1,1.061,0.185,0.237,0.78
20,LogisticRegression,250,20,1.061,0.185,0.237,0.78
20,LogisticRegression,250,60,0.594,0.11,0.247,0.446
20,LogisticRegression,250,120,0.123,0.027,0.574,0.047
20,LogisticRegression,500,1,0.715,0.144,0.59,0.244
20,LogisticRegression,500,20,0.715,0.144,0.59,0.244
20,LogisticRegression,500,60,0.617,0.133,0.602,0.222
20,LogisticRegression,500,120,-0.05,-0.012,0.718,-0.016
20,LogisticRegression,750,1,1.262,0.245,0.496,0.494
20,LogisticRegression,750,20,1.262,0.245,0.496,0.494
20,LogisticRegression,750,60,0.518,0.103,0.538,0.192
20,LogisticRegression,750,120,0.495,0.107,0.538,0.199
