,BondYield,price,ret,cum_ret
2015-01-04,3.6405,96.48737703889888,,1.0
2015-01-05,3.6406,96.48728394084944,-9.648728394040518e-07,0.9999990351271606
2015-01-06,3.6456,96.48262926742669,-4.824131463376791e-05,0.9999507938125268
2015-01-07,3.6505,96.47806812316391,-4.7274253380247266e-05,0.9999035195591466
2015-01-08,3.6457,96.48253617853901,4.631161736567968e-05,0.9999498311765123
2015-01-09,3.6556,96.47332126773662,-9.550858805507101e-05,0.9998543225884572
2015-01-12,3.6607,96.46857487939016,-4.9198973188557815e-05,0.9998051236152686
2015-01-13,3.6311,96.49612905778285,0.0002856285420111959,1.0000907521572797
2015-01-14,3.572,96.55119144170239,0.000570617541420404,1.0006613696987001
2015-01-15,3.5473,96.5742226016516,0.0002385383298260102,1.0008999080285261
2015-01-16,3.4932,96.62470577777091,0.0005227396582578869,1.001422647686784
2015-01-19,3.4935,96.62442568856981,-2.8987327707064026e-06,1.0014197489540133
2015-01-20,3.4935,96.62442568856981,0.0,1.0014197489540133
2015-01-21,3.4977,96.62050461024738,-4.058061193623619e-05,1.0013791683420772
2015-01-22,3.4829,96.63432315870544,0.00014301879827471886,1.001522187140352
2015-01-23,3.4904,96.62732002195372,-7.2470490016463e-05,1.0014497166503356
2015-01-26,3.4832,96.63404301374523,6.957651096994866e-05,1.0015192931613055
2015-01-27,3.4632,96.65272290050956,0.0001933054458009842,1.0017125986071065
2015-01-28,3.4977,96.62050461024738,-0.0003333407409054079,1.001379257866201
2015-01-29,3.5103,96.60874328448472,-0.00012172701653867524,1.0012575308496623
2015-01-30,3.5374,96.58345679918561,-0.00026174116792554436,1.0009957896817367
2015-02-02,3.4675,96.64870611544688,0.0006755744557469523,1.0016713641374837
2015-02-03,3.455,96.66038374172345,0.0001208254796769559,1.0017921896171607
2015-02-04,3.455,96.66038374172345,0.0,1.0017921896171607
2015-02-05,3.3988,96.71292123312844,0.0005435266173303699,1.002335716234491
2015-02-06,3.429,96.6846822457918,-0.00029198774038230457,1.0020437284941086
2015-02-09,3.415,96.69777111637578,0.00013537687956288735,1.0021791053736715
2015-02-10,3.4225,96.69075878072954,-7.2518069085592e-05,1.0021065873045858
2015-02-11,3.3988,96.71292123312844,0.0002292096233225127,1.0023357969279083
2015-02-12,3.3725,96.73752690512467,0.00025441969576034396,1.0025902166236687
2015-02-13,3.365,96.74454602621778,7.25584095198073e-05,1.0026627750331885
2015-02-15,3.3325,96.77497399172573,0.0003145186654729404,1.0029772936986614
2015-02-16,3.335,96.7726326994726,-2.4193158174701246e-05,1.0029531005404868
2015-02-17,3.325,96.78199854827002,9.678199854823433e-05,1.003049882539035
2015-02-25,3.3276,96.77956325318695,-2.516268644592312e-05,1.003024719852589
2015-02-26,3.365,96.74454602621778,-0.0003618246021379612,1.002662895250451
2015-02-27,3.37,96.73986649898423,-4.8369933249525765e-05,1.0026145253172016
2015-02-28,3.3775,96.73284805687892,-7.254963604252929e-05,1.002541975681159
2015-03-02,3.3988,96.71292123312844,-0.00020599852222658033,1.0023359771589324
2015-03-03,3.4285,96.68514964444037,-0.000287154894443975,1.0020488222644883
2015-03-04,3.4332,96.68075627554789,-4.543995544958879e-05,1.0020033823090388
2015-03-05,3.4729,96.6436622535949,-0.0003836753391468495,1.001619706969892
2015-03-06,3.4846,96.632735692074,-0.00011306030075963758,1.0015066466691325
2015-03-09,3.5215,96.5982911762291,-0.00035644769444032054,1.0011501989746923
2015-03-10,3.502,96.61649050259898,0.00018840215647997205,1.0013386011311722
2015-03-11,3.4679,96.6483324779956,0.0003295708137500686,1.0016681719449223
2015-03-12,3.4412,96.67327911895839,0.00025811765524741404,1.0019262896001697
2015-03-13,3.4632,96.65272290050956,-0.00021263599038090497,1.0017136536097888
2015-03-16,3.5049,96.6137835020371,-0.0004028794772036326,1.0013107741325853
2015-03-17,3.5269,96.59325257493462,-0.00021250515566484385,1.0010982689769206
2015-03-18,3.5123,96.60687667069517,0.00014104603993936315,1.00123931501686
2015-03-19,3.5514,96.57039885506134,-0.0003775902595233305,1.0008617247573366
2015-03-20,3.5198,96.59987751135532,0.0003052556129359285,1.0011669803702725
2015-03-23,3.5078,96.61107665316044,0.000115933291983783,1.0012829136622563
2015-03-24,3.4957,96.62237175071043,0.00011691306981842509,1.0013998267320747
2015-03-25,3.5141,96.60519677995558,-0.00017775356207527793,1.0012220731699994
2015-03-26,3.5606,96.56181984268149,-0.0004490124622683611,1.000773060707731
2015-03-27,3.5788,96.54485280771742,-0.00017571163210994278,1.000597349075621
2015-03-30,3.6021,96.5231399749619,-0.00022489891614185797,1.000372450159479
2015-03-31,3.6216,96.50497579655207,-0.00018818470280324018,1.0001842654566757
2015-04-01,3.6073,96.51829552550834,0.0001380211626014205,1.0003222866192771
2015-04-02,3.5744,96.5489541817283,0.00031764605925799216,1.0006399326785351
2015-04-03,3.5732,96.55007279875488,1.1586008735742226e-05,1.0006515186872709
2015-04-07,3.588,96.5362783333977,-0.00014287369193322075,1.0005086449953375
2015-04-08,3.6124,96.51354471086472,-0.0002354930490946483,1.0002731519462429
2015-04-09,3.6916,96.43982733413314,-0.0007638034324862764,0.9995093485137566
2015-04-10,3.6965,96.43527023573603,-4.725328241539373e-05,0.9994620952313412
2015-04-13,3.6894,96.44187351841173,6.847373019813752e-05,0.9995305689615394
2015-04-14,3.619,96.50739729200244,0.0006794120769357814,1.0002099810384752
2015-04-15,3.6045,96.52090401478699,0.00013995531082122703,1.0003499363492965
2015-04-16,3.6216,96.50497579655207,-0.00016502350861191672,1.0001849128406846
2015-04-17,3.6047,96.52071768944846,0.00016312001289531253,1.0003480328535799
2015-04-20,3.5151,96.60426353256675,0.0008655742012517731,1.0012136070548316
2015-04-21,3.4457,96.66907372660246,0.0006708833716626561,1.0018844904264943
2015-04-22,3.4667,96.6494533990163,-0.00020296385213802726,1.0016815265743562
2015-04-23,3.4935,96.62442568856981,-0.00025895346084525706,1.001422573113511
2015-04-24,3.5275,96.5926927627925,-0.0003284151553935022,1.0010941579581174
2015-04-27,3.4817,96.63544375478949,0.00044259033239679724,1.0015367482905142
2015-04-28,3.4842,96.63310920894203,-2.415827730228859e-05,1.001512590013212
2015-04-29,3.4843,96.63301582945432,-9.66330158225226e-07,1.001511623683054
2015-04-30,3.4577,96.65786113551721,0.0002571099106203345,1.0017687335936742
2015-05-04,3.375,96.73518742442565,0.000800000000000356,1.0025687335936746
2015-05-05,3.3976,96.71404365285075,-0.00021857373865552532,1.002350159855019
