date,yield,ret,cum_ret
2016-03-25,2.8725,0.003493449781659441,0.789039967037495
2016-03-28,2.9,0.009573542210617791,0.796593874467793
2016-03-29,2.89,-0.0034482758620688614,0.7938469990385938
2016-03-30,2.8675,-0.007785467128027634,0.7876665293228954
2016-03-31,2.8625,-0.0017436791630340842,0.7862930916082956
2016-04-01,2.8688,0.0022008733624454546,0.7880236231286912
2016-04-05,2.8675,-0.00045315114333510653,0.7876665293228954
2016-04-06,2.885,0.006102877070618851,0.792473561323994
2016-04-07,2.9125,0.00953206239168125,0.8000274687542922
2016-04-08,2.9075,-0.0017167381974249052,0.7986540310396926
2016-04-11,2.885,-0.007738607050731039,0.792473561323994
2016-04-12,2.905,0.006932409012131657,0.7979673121823926
2016-04-13,2.925,0.0068846815834768815,0.8034610630407912
2016-04-14,2.93,0.0017094017094019254,0.8048345007553911
2016-04-15,2.94,0.0034129692832762792,0.8075813761845902
2016-04-18,2.91,-0.010204081632652962,0.7993407498969924
2016-04-19,2.92,0.0034364261168384758,0.8020876253261917
2016-04-20,2.92,0.0,0.8020876253261917
2016-04-21,2.94,0.006849315068493178,0.8075813761845904
2016-04-22,2.95,0.003401360544217802,0.8103282516137897
2016-04-25,2.965,0.005084745762711673,0.8144485647575885
2016-04-26,2.955,-0.003372681281618828,0.8117016893283893
2016-04-27,2.95,-0.0016920473773265332,0.8103282516137896
2016-04-28,2.9225,-0.009322033898305215,0.8027743441834915
2016-04-29,2.92,-0.0008554319931565191,0.8020876253261917
2016-05-03,2.89,-0.010273972602739656,0.7938469990385939
2016-05-04,2.89,0.0,0.7938469990385939
2016-05-05,2.88,-0.0034602076124568004,0.7911001236093945
2016-05-06,2.8975,0.0060763888888888395,0.7959071556104932
2016-05-09,2.89,-0.0025884383088868868,0.7938469990385938
2016-05-10,2.8725,-0.006055363321799345,0.789039967037495
2016-05-11,2.87,-0.0008703220191470518,0.7883532481801953
2016-05-12,2.87,0.0,0.7883532481801953
2016-05-13,2.875,0.0017421602787455193,0.7897266858947948
2016-05-16,2.875,0.0,0.7897266858947948
2016-05-17,2.89,0.00521739130434784,0.7938469990385937
2016-05-18,2.905,0.00519031141868509,0.7979673121823926
2016-05-19,2.905,0.0,0.7979673121823926
2016-05-20,2.905,0.0,0.7979673121823926
2016-05-23,2.905,0.0,0.7979673121823926
2016-05-24,2.905,0.0,0.7979673121823926
2016-05-25,2.91,0.001721170395869276,0.7993407498969923
2016-05-26,2.91,0.0,0.7993407498969923
2016-05-27,2.925,0.005154639175257714,0.8034610630407912
2016-05-30,2.905,-0.006837606837606813,0.7979673121823927
2016-05-31,2.905,0.0,0.7979673121823927
2016-06-01,2.9825,0.026678141135972444,0.8192555967586872
2016-06-02,3.0075,0.0083822296730931,0.8261227853316855
2016-06-03,3.0175,0.0033250207813799726,0.8288696607608849
2016-06-06,3.0025,-0.004971002485501308,0.8247493476170858
2016-06-07,3.0033,0.00026644462947533754,0.8249690976514217
2016-06-08,3.0075,0.0013984616921385307,0.8261227853316853
2016-06-12,3.0025,-0.0016625103906898753,0.8247493476170856
2016-06-13,3.0,-0.0008326394671107629,0.8240626287597858
