,close
2010/1/4,4510.527
2010/1/5,4557.475
2010/1/6,4550.279
2010/1/7,4459.155
2010/1/8,4514.452
2010/1/11,4542.949
2010/1/12,4639.632
2010/1/13,4591.024
2010/1/14,4714.1
2010/1/15,4747.648
2010/1/18,4829.062
2010/1/19,4830.016
2010/1/20,4651.074
2010/1/21,4667.209
2010/1/22,4537.88
2010/1/25,4481.16
2010/1/26,4294.383
2010/1/27,4267.113
2010/1/28,4336.381
2010/1/29,4374.649
2010/2/1,4331.366
2010/2/2,4301.768
2010/2/3,4363.079
2010/2/4,4408.441
2010/2/5,4311.293
2010/2/8,4310.894
2010/2/9,4311.891
2010/2/10,4366.25
2010/2/11,4356.517
2010/2/12,4416.219
2010/2/22,4419.547
2010/2/23,4459.155
2010/2/24,4556.281
2010/2/25,4629.965
2010/2/26,4634.671
2010/3/1,4686.266
2010/3/2,4690.293
2010/3/3,4758.434
2010/3/4,4586.523
2010/3/5,4604.586
2010/3/8,4654.583
2010/3/9,4660.126
2010/3/10,4598.994
2010/3/11,4562.872
2010/3/12,4492.861
2010/3/15,4454.76
2010/3/16,4491.465
2010/3/17,4616.053
2010/3/18,4630.953
2010/3/19,4663.903
2010/3/22,4690.198
2010/3/23,4658.626
2010/3/24,4683.065
2010/3/25,4620.749
2010/3/26,4686.931
2010/3/29,4723.611
2010/3/30,4744.423
2010/3/31,4756.157
2010/4/1,4827.214
2010/4/2,4843.175
2010/4/6,4852.904
2010/4/7,4863.639
2010/4/8,4864.922
2010/4/9,4939.176
2010/4/12,4976.38
2010/4/13,4919.873
2010/4/14,4977.508
2010/4/15,4914.747
2010/4/16,4898.67
2010/4/19,4688.836
2010/4/20,4749.934
2010/4/21,4893.978
2010/4/22,4902.405
2010/4/23,4864.164
2010/4/26,4866.553
2010/4/27,4739.269
2010/4/28,4714.432
2010/4/29,4561.4
2010/4/30,4438.681
2010/5/4,4434.131
2010/5/5,4564.807
2010/5/6,4419.781
2010/5/7,4350.758
2010/5/10,4269.108
2010/5/11,4144.352
2010/5/12,4042.516
2010/5/13,4157.842
2010/5/14,4184.841
2010/5/17,3915.752
2010/5/18,3972.154
2010/5/19,3977.377
2010/5/20,3901.257
2010/5/21,3982.385
2010/5/24,4163.477
2010/5/25,4133.346
2010/5/26,4144.662
2010/5/27,4218.637
2010/5/28,4235.322
2010/5/31,4104.364
2010/6/1,4025.789
2010/6/2,4083.616
2010/6/3,4053.985
2010/6/4,4089.035
2010/6/7,4072.568
2010/6/8,4109.317
2010/6/9,4211.881
2010/6/10,4223.566
2010/6/11,4197.995
2010/6/17,4145.243
2010/6/18,3972.286
2010/6/21,4087.017
2010/6/22,4119.722
2010/6/23,4094.568
2010/6/24,4095.295
2010/6/25,4028.433
2010/6/28,3961.382
2010/6/29,3736.982
2010/6/30,3664.464
2010/7/1,3606.593
2010/7/2,3585.576
2010/7/5,3563.882
2010/7/6,3665.334
2010/7/7,3718.662
2010/7/8,3698.342
2010/7/9,3807.604
2010/7/12,3849.52
2010/7/13,3788.751
2010/7/14,3824.046
2010/7/15,3735.395
2010/7/16,3757.432
2010/7/19,3842.313
2010/7/20,3951.358
2010/7/21,3959.427
2010/7/22,4017.864
2010/7/23,4015.467
2010/7/26,4071.094
2010/7/27,4068.864
2010/7/28,4162.321
2010/7/29,4194.04
2010/7/30,4191.13
2010/8/2,4267.895
2010/8/3,4193.641
2010/8/4,4248.014
2010/8/5,4267.955
2010/8/6,4356.012
2010/8/9,4413.568
2010/8/10,4246.46
2010/8/11,4297.904
2010/8/12,4241.592
2010/8/13,4323.052
2010/8/16,4423.315
2010/8/17,4457.759
2010/8/18,4457.127
2010/8/19,4461.488
2010/8/20,4366.604
2010/8/23,4404.718
2010/8/24,4456.497
2010/8/25,4368.304
2010/8/26,4399.284
2010/8/27,4431.444
2010/8/30,4553.023
2010/8/31,4589.289
2010/9/1,4530.229
2010/9/2,4625.395
2010/9/3,4662.96
2010/9/6,4651.963
2010/9/7,4679.942
2010/9/8,4720.375
2010/9/9,4658.009
2010/9/10,4705.31
2010/9/13,4789.693
2010/9/14,4805.416
2010/9/15,4730.143
2010/9/16,4610.916
2010/9/17,4603.489
2010/9/20,4553.12
2010/9/21,4546.724
2010/9/27,4673.602
2010/9/28,4654.345
2010/9/29,4590.317
2010/9/30,4660.605
2010/10/8,4767.967
2010/10/11,4789.155
2010/10/12,4806.029
2010/10/13,4836.737
2010/10/14,4679.548
2010/10/15,4691.45
2010/10/18,4636.639
2010/10/19,4778.607
2010/10/20,4794.194
2010/10/21,4833.8
2010/10/22,4877.927
2010/10/25,4998.5
2010/10/26,5046.148
2010/10/27,4994.774
2010/10/28,4999.59
2010/10/29,5055.492
2010/11/1,5199.525
2010/11/2,5173.066
2010/11/3,5098.539
2010/11/4,5228.296
2010/11/5,5311.77
2010/11/8,5431.091
2010/11/9,5467.839
2010/11/10,5484.742
2010/11/11,5440.099
2010/11/12,5111.189
2010/11/15,5255.267
2010/11/16,5068.465
2010/11/17,4855.85
2010/11/18,4932.401
2010/11/19,5081.03
2010/11/22,5150.665
2010/11/23,5063.237
2010/11/24,5206.149
2010/11/25,5259.81
2010/11/26,5227.648
2010/11/29,5248.747
2010/11/30,5110.875
2010/12/1,5116.837
2010/12/2,5138.487
2010/12/3,5100.366
2010/12/6,5016.528
2010/12/7,5084.583
2010/12/8,5069.97
2010/12/9,4964.901
2010/12/10,5039.165
2010/12/13,5179.021
2010/12/14,5244.038
2010/12/15,5230.68
2010/12/16,5216.851
2010/12/17,5228.337
2010/12/20,5163.529
2010/12/21,5222.792
2010/12/22,5174.539
2010/12/23,5069.523
2010/12/24,4991.544
2010/12/27,4849.63
2010/12/28,4730.497
2010/12/29,4812.532
2010/12/30,4828.489
2010/12/31,4936.716
2011/1/4,5011.498
2011/1/5,5028.766
2011/1/6,5001.283
2011/1/7,4975.144
2011/1/10,4830.562
2011/1/11,4804.822
2011/1/12,4833.58
2011/1/13,4826.757
2011/1/14,4723.426
2011/1/17,4519.913
2011/1/18,4536.964
2011/1/19,4646.087
2011/1/20,4477.359
2011/1/21,4506.322
2011/1/24,4398.495
2011/1/25,4341.909
2011/1/26,4424.892
2011/1/27,4502.808
2011/1/28,4548.206
2011/1/31,4610.86
2011/2/1,4630.58
2011/2/9,4609.717
2011/2/10,4733.973
2011/2/11,4786.806
2011/2/14,4872.495
2011/2/15,4869.687
2011/2/16,4952.667
2011/2/17,4987.48
2011/2/18,4941.432
2011/2/21,5042.967
2011/2/22,4909.745
2011/2/23,4979.057
2011/2/24,5027.731
2011/2/25,5032.797
2011/2/28,5095.208
2011/3/1,5122.441
2011/3/2,5108.74
2011/3/3,5009.047
2011/3/4,5067.621
2011/3/7,5138.248
2011/3/8,5165.735
2011/3/9,5181.368
2011/3/10,5143.413
2011/3/11,5139.746
2011/3/14,5190.037
2011/3/15,5131.332
2011/3/16,5199.358
2011/3/17,5104.134
2011/3/18,5126.934
2011/3/21,5086.108
2011/3/22,5085.812
2011/3/23,5155.337
2011/3/24,5169.264
2011/3/25,5212.345
2011/3/28,5199.552
2011/3/29,5111.153
2011/3/30,5064.545
2011/3/31,5000.402
2011/4/1,5065.076
2011/4/6,5057.84
2011/4/7,5089.751
2011/4/8,5148.799
2011/4/11,5107.137
2011/4/12,5114.459
2011/4/13,5165.207
2011/4/14,5150.869
2011/4/15,5162.415
2011/4/18,5178.894
2011/4/19,5116.144
2011/4/20,5152.395
2011/4/21,5188.111
2011/4/22,5165.123
2011/4/25,5054.768
2011/4/26,4970.572
2011/4/27,4913.497
2011/4/28,4755.416
2011/4/29,4836.866
2011/5/3,4920.57
2011/5/4,4814.781
2011/5/5,4827.212
2011/5/6,4849.969
2011/5/9,4889.92
2011/5/10,4918.674
2011/5/11,4929.488
2011/5/12,4863.795
2011/5/13,4902.564
2011/5/16,4900.706
2011/5/17,4873.954
2011/5/18,4906.189
2011/5/19,4879.892
2011/5/20,4863.185
2011/5/23,4679.527
2011/5/24,4672.076
2011/5/25,4618.748
2011/5/26,4572.942
2011/5/27,4428.894
2011/5/30,4345.048
2011/5/31,4444.276
2011/6/1,4490.892
2011/6/2,4429.999
2011/6/3,4506.196
2011/6/7,4547.303
2011/6/8,4562.972
2011/6/9,4456.73
2011/6/10,4469.049
2011/6/13,4468.787
2011/6/14,4540.939
2011/6/15,4499.694
2011/6/16,4402.143
2011/6/17,4337.367
2011/6/20,4278.753
2011/6/21,4338.422
2011/6/22,4321.219
2011/6/23,4402.938
2011/6/24,4509.18
2011/6/27,4568.189
2011/6/28,4574.477
2011/6/29,4511.545
2011/6/30,4579.332
2011/7/1,4604.746
2011/7/4,4719.391
2011/7/5,4749.424
2011/7/6,4760.917
2011/7/7,4761.452
2011/7/8,4756.614
2011/7/11,4799.42
2011/7/12,4731.118
2011/7/13,4825.419
2011/7/14,4866.165
2011/7/15,4896.043
2011/7/18,4895.26
2011/7/19,4843.705
2011/7/20,4849.057
2011/7/21,4784.388
2011/7/22,4800.938
2011/7/25,4613.73
2011/7/26,4633.372
2011/7/27,4710.379
2011/7/28,4680.898
2011/7/29,4628.32
2011/8/1,4644.462
2011/8/2,4610.783
2011/8/3,4625.173
2011/8/4,4649.425
