,Growth,Inflation,Rate,Credit,ExRate
2011-04-01,20.118685952855675,22.5100793478949,0.5294863814025774,-2.0283476911769327,-4.094956737963806
2011-04-06,20.84284942439193,24.065089918050397,0.6371083110570552,-1.9351724147396714,-4.139346916013653
2011-04-07,21.606853855254617,24.272877210556647,0.5764505161003797,-1.9469544305988087,-4.1989730930216185
2011-04-08,21.295934960437933,25.034200387282525,0.5981207993360549,-2.102669227496374,-4.251057112916601
2011-04-11,20.880678987483325,24.32668608591958,0.7051759611593766,-2.180114757665518,-4.278639461242917
2011-04-12,19.927920150817446,23.066340004264912,0.7962355199198079,-2.17739730463802,-4.219025118406949
2011-04-13,19.914957231249765,23.60808914287039,0.9549373467835132,-2.0628176598268766,-4.326115353256621
2011-04-14,19.880074531725366,24.11630988977654,1.1592962599149104,-1.9883389766275892,-4.372019200805033
2011-04-15,19.149211353754836,23.80042606521235,1.1801198705705396,-1.9459120946446682,-4.431659337775118
2011-04-18,18.80856626849686,23.100969601540587,1.0517497184197921,-1.974815443065897,-4.416412958853355
2011-04-19,18.123460686862547,22.728660883941338,0.9730228294628773,-1.9773125182011617,-4.362771415695654
2011-04-20,18.44816488514328,23.050867392566378,1.0035748221951302,-1.912150169482612,-4.443844479266512
2011-04-21,18.451961388476768,23.397921961395156,0.9841106650361198,-1.8068365029778883,-4.543511887953011
2011-04-22,18.80658428248688,23.806346680626717,0.9322044875885283,-1.758580035838015,-4.6554198744045205
2011-04-25,20.183823726754223,24.860193987269085,0.7286882412578244,-1.7494973992792227,-4.649211233100026
2011-04-26,18.797348725353036,24.860656679427816,0.6206455988574611,-1.7661759106750516,-4.632261938150251
2011-04-27,18.557624469792465,24.940213103737406,0.6920291073353901,-1.743659535663849,-4.751943783992751
2011-04-28,18.209610595777292,25.009691562129806,0.6925443775238627,-1.744687884131891,-4.819631448674344
2011-04-29,17.869978314072288,24.56619508142999,0.61853655572639,-1.754389294165297,-4.9149129328026175
2011-05-03,17.26702020535953,24.320323888398814,0.4926239170558233,-1.875753690360804,-4.894985346421565
2011-05-04,17.470022850170817,24.61191956056083,0.49500382155001077,-1.836659448044406,-4.876599288733119
2011-05-05,18.066148166422234,22.473023647569487,0.4404725298779333,-1.947014091604922,-4.861072989956838
2011-05-06,16.91486927289344,21.33618829496075,0.5949698441351181,-2.0568413296855645,-4.896376745997988
2011-05-09,16.505502897601133,22.61336454119543,0.5696360010156276,-2.032237036595234,-4.916525464975519
