,000852.SH,000905.SH,000300.SH,NH0100.NHF,Bond
2011-05-11,5179.608,4929.488,3145.085,1494.0562,3.8334
2011-05-12,5100.274,4863.795,3101.603,1466.1584,3.8211
2011-05-13,5143.46,4902.564,3128.093,1498.3793,3.8363
2011-05-16,5141.23,4900.706,3100.463,1488.2535,3.8432
2011-05-17,5100.069,4873.954,3116.028,1491.2885,3.8318
2011-05-18,5137.721,4906.189,3139.379,1491.8703,3.8338
2011-05-19,5115.634,4879.892,3120.639,1498.1398,3.8309
2011-05-20,5102.129,4863.185,3121.596,1498.7776,3.8429
2011-05-23,4907.393,4679.527,3022.98,1486.5102,3.84
2011-05-24,4908.914,4672.076,3026.223,1498.2008,3.8414
2011-05-25,4855.585,4618.748,2990.343,1504.1958,3.8382
2011-05-26,4815.847,4572.942,2978.381,1518.6557,3.8352
2011-05-27,4644.289,4428.894,2963.308,1522.3777,3.8217
2011-05-30,4565.116,4345.048,2954.506,1522.4563,3.8256
2011-05-31,4661.693,4444.276,3001.556,1525.6195,3.8311
2011-06-01,4723.706,4490.892,3004.173,1520.4957,3.8311
2011-06-02,4658.373,4429.999,2955.705,1518.6557,3.8337
2011-06-03,4739.359,4506.196,2986.349,1536.3,3.8337
2011-06-07,4792.018,4547.303,3004.262,1530.9077,3.8341
2011-06-08,4826.858,4562.972,3008.652,1524.3559,3.8572
2011-06-09,4716.715,4456.73,2951.889,1521.4547,3.8726
2011-06-10,4724.618,4469.049,2961.932,1521.2656,3.894
2011-06-13,4724.573,4468.787,2950.348,1514.4489,3.9036
2011-06-14,4796.473,4540.939,2993.559,1516.5439,3.9406
2011-06-15,4755.425,4499.694,2963.119,1525.4068,3.9986
2011-06-16,4645.556,4402.143,2917.578,1512.5593,3.9839
2011-06-17,4571.232,4337.367,2892.157,1509.7231,3.9803
2011-06-20,4505.848,4278.753,2874.896,1502.844,3.9413
2011-06-21,4562.736,4338.422,2909.073,1513.284,3.9003
2011-06-22,4565.618,4321.219,2908.582,1503.3141,3.9555
2011-06-23,4647.985,4402.938,2957.629,1499.0958,3.9691
2011-06-24,4757.732,4509.18,3027.47,1500.6986,3.8963
2011-06-27,4832.012,4568.189,3036.491,1475.9227,3.8703
2011-06-28,4850.796,4574.477,3041.734,1478.5983,3.88
2011-06-29,4800.193,4511.545,3000.169,1490.3943,3.8833
2011-06-30,4872.268,4579.332,3044.089,1505.6008,3.8857
2011-07-01,4899.16,4604.746,3049.745,1499.4568,3.8775
2011-07-04,5011.675,4719.391,3121.98,1521.5875,3.8842
2011-07-05,5055.645,4749.424,3122.5,1519.4486,3.8909
2011-07-06,5081.962,4760.917,3113.712,1525.7958,3.9116
2011-07-07,5073.056,4761.452,3101.68,1528.6483,3.9021
2011-07-08,5057.722,4756.614,3109.183,1536.0813,3.8881
2011-07-11,5110.356,4799.42,3113.206,1530.8194,3.8923
2011-07-12,5030.082,4731.118,3056.905,1523.8814,3.8899
2011-07-13,5132.073,4825.419,3106.247,1549.4591,3.8913
2011-07-14,5187.076,4866.165,3115.745,1548.8506,3.9204
2011-07-15,5229.099,4896.043,3128.889,1545.4512,3.9278
2011-07-18,5235.194,4895.26,3122.6,1546.8933,3.9558
