,Growth,Inflation,Rate,Credit,Exchange
2013/5/16,20.18519582,-2.831140611,0.958048301,5.41318261,5.106684079
2013/5/17,20.25472873,-2.608134571,1.608123242,5.484363204,5.052269785
2013/5/20,20.32531931,-2.580125309,2.912593094,5.390069393,5.129046691
2013/5/21,20.39698696,-2.699514531,3.104660575,5.293783029,5.035386182
2013/5/22,20.46975163,-2.753298682,3.173021478,5.214459074,4.926646645
2013/5/23,20.54363391,-2.61773576,4.436705402,5.391765979,5.1382655
2013/5/24,20.61865496,-2.65568846,3.359047117,5.371903883,5.21519492
2013/5/27,20.69483661,-2.684952589,3.17003071,5.23666317,5.247948865
2013/5/28,20.77220133,-2.64917766,1.846436786,5.108580421,5.152785531
2013/5/29,20.85077231,-2.746371313,2.915054234,5.002688298,5.223725449
2013/5/30,20.93057342,-2.657505283,4.802050252,5.010142759,5.37450761
2013/5/31,21.01162929,-2.707635821,5.223592364,4.946961837,5.424181496
2013/6/3,21.0931513,-2.470854393,4.177500072,4.927238409,5.533127792
2013/6/4,21.1754073,-2.423336705,4.188150035,4.797544703,5.483582067
2013/6/5,21.2584077,-2.432454897,4.376111206,4.665424855,5.456631802
2013/6/6,21.34216324,-2.51281333,5.075316475,4.629078247,5.664544948
2013/6/7,21.426685,-2.476507685,9.359260644,4.203070847,5.540913427
2013/6/13,21.7726689,-2.403301113,6.915993979,3.486280657,5.769470256
2013/6/14,21.86120123,-2.326789311,7.893885717,3.240198902,5.743121507
2013/6/17,21.95057444,-2.393565172,7.718361946,3.190007777,5.675253745
2013/6/18,22.0408025,-2.254102941,8.166445905,3.136107473,5.621533747
2013/6/19,22.13189986,-2.236461931,8.97148254,3.509597754,5.565815517
2013/6/20,22.22388149,-2.260741543,11.89396361,4.094447306,5.371630524
2013/6/21,22.31676288,-2.083616703,5.365494545,3.856337188,5.2521535
2013/6/24,22.41056008,-2.178811282,3.977585042,3.498309741,5.411596437
2013/6/25,22.50528973,-2.164189512,4.098670853,3.392689251,5.357915005
2013/6/26,22.60096906,-2.280114578,3.764121959,3.549828647,5.33201739
2013/6/27,22.69761595,-2.240507065,3.780229562,3.855487588,5.314824859
2013/6/28,22.79524894,-2.127962583,2.742050577,3.816921219,5.29763699
2013/7/1,22.8844447,-2.507568213,1.729221961,3.822790175,5.346163612
2013/7/2,22.97447357,-2.386117447,0.706876379,3.851307833,5.002995691
2013/7/3,23.06534684,-2.469039754,0.547038817,3.826636863,5.103416689
2013/7/4,23.15707605,-2.339148577,-0.082481255,4.019897928,4.95501146
2013/7/5,23.24967309,-2.180914976,0.546968499,4.059550097,4.877251846
2013/7/8,23.34315015,-1.951045819,0.529271748,4.333830635,5.010956671
2013/7/9,23.43751978,-2.01262178,0.460048869,4.493310724,5.00688353
2013/7/10,23.53279486,-1.755630538,0.567665368,4.624817887,5.226479143
2013/7/11,23.62898867,-1.784764606,1.117081526,4.796471244,5.359521397
2013/7/12,23.72611486,-1.816830644,0.811227565,4.73191405,5.320920233
2013/7/15,23.82418747,-1.782685402,0.904880931,4.620178857,5.278136735
2013/7/16,23.923221,-1.727348931,0.723594253,4.648233892,5.306642756
2013/7/17,24.02323036,-1.706066974,0.226938539,4.621917449,5.22123177
2013/7/18,24.12423096,-1.695930229,0.247650807,4.516870285,5.150909931
2013/7/19,24.22623866,-1.823457151,0.354593305,4.545066484,5.152989666
2013/7/22,24.32926987,-1.607556774,0.633625399,4.428367865,5.17239585
2013/7/23,24.4333415,-1.244819879,1.123370157,4.471227433,5.316480507
2013/7/24,24.53847105,-1.213722617,1.295381308,4.510848263,5.296151765
2013/7/25,24.6446766,-1.159216939,1.418792572,4.372159654,5.426667612
2013/7/26,24.75197685,-1.191545781,2.565210875,4.312210071,5.342463402
2013/7/29,24.86039115,-1.334029847,3.699641801,4.406852784,5.122999329
2013/7/30,24.96993954,-1.409913434,2.907738429,4.467173221,5.022665748
2013/7/31,25.08064277,-1.301697182,2.668449104,4.442884324,5.070420134
2013/8/1,25.19769313,-1.247152775,1.807753757,4.621429991,4.869139167
2013/8/2,25.31605876,-1.24613428,1.576783417,4.822512374,5.039950467
2013/8/5,25.43576099,-1.390087472,1.571661126,4.885917543,5.076411519
2013/8/6,25.55682193,-1.409247523,1.643655512,4.922487244,4.885816679
2013/8/7,25.67926445,-1.599033716,1.125124401,4.906819263,4.93336483
2013/8/8,25.80311226,-1.635867886,0.829974544,4.980753136,4.972014471
2013/8/9,25.92838996,-1.590926411,0.648374735,5.155761647,4.94122089
2013/8/12,26.05512306,-1.551862176,0.539174393,5.030628839,4.894290775
2013/8/13,26.18333805,-1.50159808,0.708500894,5.049537216,4.789248228
2013/8/14,26.31306245,-1.458585732,0.826481258,4.989809166,4.750627052
2013/8/15,26.44432486,-1.508836883,0.81865758,4.808847895,4.886140759
2013/8/16,26.57715504,-1.569426183,-0.163987951,4.82219495,4.85835087
2013/8/19,26.71158395,-1.383661572,0.791065046,4.962760761,4.766276827
2013/8/20,26.84764383,-1.375064991,1.179084129,5.045743707,4.858287798
2013/8/21,26.98536828,-1.44279442,0.767375816,4.806386206,4.725557898
2013/8/22,27.12479233,-1.455764578,0.59118935,4.99050119,4.521732917
2013/8/23,27.26595253,-1.389828833,0.958253319,5.012561494,4.430260358
2013/8/26,27.40888703,-1.292243175,1.094164857,4.995351966,4.357628605
2013/8/27,27.55363569,-0.938434618,2.349539174,5.159319608,4.453542675
2013/8/28,27.70024016,-0.766464754,1.301848476,5.228190981,4.369669799
2013/8/29,27.84874402,-0.897805363,1.298917364,5.262245348,4.123296845
2013/8/30,27.99919288,-0.983193735,0.451635354,5.273303602,4.127204073
2013/9/2,28.16070383,-1.053667786,0.665964029,5.288515408,4.070932368
2013/9/3,28.32350783,-0.996862581,3.078847881,5.388501827,3.88988251
2013/9/4,28.48760992,-0.895291222,0.231702458,5.52638913,3.899715682
2013/9/5,28.65301523,-0.724525344,0.080506949,5.57654828,3.782660504
2013/9/6,28.81972891,-0.663701659,0.184854844,5.4490539,3.845017369
2013/9/9,28.98775621,-1.107480661,1.129683764,5.301135329,3.846351272
2013/9/10,29.15710243,-1.517707999,1.336366014,5.404885882,3.562507769
2013/9/11,29.32777295,-1.5948423,0.140537818,5.244696406,3.675998878
2013/9/12,29.49977319,-1.559857108,0.214635764,5.156391799,3.498958817
2013/9/13,29.67310867,-1.680428475,0.462361683,5.083904498,3.403945575
2013/9/16,29.84778497,-2.259656091,0.504855412,4.913779596,3.297122674
2013/9/17,30.02380773,-2.441006924,0.966218623,5.018375595,3.174735064
2013/9/18,30.20118267,-2.31969718,0.856845149,4.997011784,3.422281815
2013/9/23,30.74147875,-2.624791752,-0.173640649,5.090569393,3.424287619
2013/9/24,30.92432095,-2.416481916,0.046865425,4.988504764,3.332632809
2013/9/25,31.10854493,-2.540808861,-0.718493237,4.976980378,3.412545835
2013/9/26,31.29415682,-2.503678251,0.56421654,4.903811042,3.352972112
2013/9/27,31.4811628,-2.801239881,0.909696869,4.988771451,3.444797287
2013/9/30,31.66956911,-2.872222436,2.172119997,4.796283783,3.323076752
2013/10/8,32.75451368,-2.971821269,1.03565126,4.78642113,3.484848857
2013/10/9,32.93834055,-3.507296679,1.3257511,4.762544265,3.45516202
2013/10/10,33.12299239,-3.383625854,2.878552965,4.656340255,3.53332504
2013/10/11,33.30845551,-3.545569266,2.232659785,4.670491635,3.593941616
2013/10/14,33.49471559,-3.368225604,2.506121248,4.654930739,3.566626328
2013/10/15,33.68175769,-3.504336781,2.695485384,4.546265885,3.511743523
2013/10/16,33.86956626,-3.346735931,1.123310182,4.474646496,3.519266239
2013/10/17,34.05812508,-3.377573959,1.709130077,4.415439272,3.60086204
2013/10/18,34.2474173,-3.301503656,2.210311239,4.55637172,3.580916288
2013/10/21,34.43742545,-3.186788728,2.211148344,4.687691318,3.704330805
2013/10/22,34.62813136,-3.159429793,1.680608289,4.722761712,3.936156595
2013/10/23,34.81951625,-3.282631737,1.969192178,4.541236911,3.914509714
2013/10/24,35.01156066,-3.313710566,2.176865821,4.405595329,4.067244082
2013/10/25,35.20424453,-3.378869616,2.51989042,4.274627416,4.081371994
2013/10/28,35.39754709,-3.214941436,1.217008285,4.502196586,4.156996799
2013/10/29,35.591447,-3.241131074,3.855558705,4.770028856,4.048880425
2013/10/30,35.78592226,-3.079821439,5.237237833,4.703486027,4.110239998
2013/10/31,35.98095026,-3.079526544,3.266086859,4.375601986,3.858569177
2013/11/1,36.16732801,-3.30720065,2.532919446,4.463266071,3.699461441
2013/11/4,36.35402047,-2.968054716,2.373871907,4.651482536,3.769640078
2013/11/5,36.540988,-3.178870493,2.329232703,4.627383292,3.885311874
2013/11/6,36.72818974,-3.433965564,1.679829148,4.83387094,3.988960848
2013/11/7,36.91558361,-3.128874468,1.336301058,5.040730817,3.849996471
2013/11/8,37.10312633,-2.931122859,1.942013868,5.103226142,3.774730098
2013/11/11,37.29077342,-2.986127774,1.64091036,5.405605028,3.828700446
2013/11/12,37.47847922,-2.957421721,1.057818854,5.150795267,3.880100273
2013/11/13,37.66619693,-2.666439581,0.779945544,5.020964701,4.004490855
2013/11/14,37.8538786,-2.639038028,1.896206728,4.789746661,3.950142552
2013/11/15,38.04147519,-2.75517421,5.926769395,4.809767083,4.015368482
2013/11/18,38.22893657,-2.490047153,4.864602094,4.882687172,4.011723568
2013/11/19,38.41621159,-2.878919679,3.251243771,4.604255728,4.086702017
2013/11/20,38.6032481,-2.502956044,3.430877558,4.253465556,3.870394627
2013/11/21,38.78999299,-2.311971377,3.345628696,3.887080902,3.8899461
2013/11/22,38.97639226,-2.074650605,5.06055003,3.6903993,4.001261159
2013/11/25,39.16239106,-2.033876427,4.648292456,3.755165641,3.853260494
2013/11/26,39.34793375,-1.852335613,4.631081705,3.572661122,3.789872992
2013/11/27,39.53296397,-1.541093342,2.826352977,3.166151378,3.759139784
2013/11/28,39.71742471,-1.399913424,3.241266946,2.793794324,3.866252307
2013/11/29,39.90125837,-1.548308247,2.591659405,2.801868677,3.82607556
2013/12/2,40.0820454,-1.211947797,2.594465841,3.338373247,3.661626912
2013/12/3,40.26247572,-0.977992646,4.127081951,3.146173041,3.741880026
2013/12/4,40.44249253,-0.872008218,4.383253104,3.170665779,3.626053649
2013/12/5,40.6220382,-0.806659876,4.041203629,3.26239021,3.632003417
2013/12/6,40.80105431,-0.447546846,3.336997653,3.312692677,3.681094209
2013/12/9,40.97948168,-0.66997544,3.514621993,3.463270607,3.79159556
2013/12/10,41.15726041,-0.678851009,3.196534543,3.674269923,3.878318843
2013/12/11,41.33432992,-0.655939056,2.94225873,3.545391959,3.863013139
2013/12/12,41.51062902,-0.877467318,4.140583801,3.361356734,3.661558889
2013/12/13,41.68609591,-0.609737855,2.975102661,3.189420513,3.578268486
2013/12/16,41.8606683,-0.614745278,3.176212435,3.33051431,3.573527714
2013/12/17,42.03428338,-0.708702733,3.790729368,3.32693438,3.454384373
2013/12/18,42.20687794,-0.681659556,6.40110781,3.187417211,3.286836112
2013/12/19,42.37838842,-0.742027029,6.957157524,3.057568276,3.15971738
2013/12/20,42.54875094,-0.536710217,9.241053014,2.933971577,3.163938986
2013/12/23,42.71790139,-0.400741764,12.7240311,2.803387697,3.110351009
2013/12/24,42.88577547,-0.3235928,4.345995437,2.665134101,3.174958089
2013/12/25,43.05230877,-0.479083999,3.146458022,2.716158058,3.179638525
2013/12/26,43.21743686,-0.731750696,2.063571296,2.749056308,3.174252302
2013/12/27,43.3810953,-0.763529402,1.699580924,2.878521977,3.188324844
2013/12/30,43.54321975,-0.93362593,0.487442858,2.856099852,3.244030599
2013/12/31,43.70374603,-1.220686774,2.175256086,2.805201685,3.183987274
2014/1/2,44.03144814,-1.808899015,1.684776451,3.071765315,3.091923358
2014/1/3,44.19288781,-2.038070358,1.860723169,3.215994565,3.186707376
2014/1/6,44.35264852,-2.165292395,2.19491105,3.100718546,3.245318684
2014/1/7,44.51067746,-2.275437155,2.376582572,2.952496233,3.090537849
2014/1/8,44.66692248,-2.456268355,2.214150343,2.85173664,3.050516479
2014/1/9,44.8213321,-2.583847759,2.362065416,2.700747669,3.151404817
2014/1/10,44.97385564,-2.532389902,2.675754874,2.425221436,2.984815124
2014/1/13,45.12444316,-2.488994137,3.408140686,2.400881982,2.925453859
2014/1/14,45.27304559,-2.702805704,3.108649952,2.168599312,2.861889582
2014/1/15,45.4196147,-2.470572338,2.895604493,2.015280626,2.819549887
2014/1/16,45.5641032,-2.557275085,3.862670546,2.025636091,2.858860732
2014/1/17,45.70646471,-2.735885136,5.223395776,2.102574004,2.7188284
2014/1/20,45.84665382,-2.885469501,8.945709323,1.945171129,2.847130432
2014/1/21,45.98462611,-2.866146641,5.971452768,1.765274568,2.846781477
2014/1/22,46.12033816,-2.808666483,5.231449417,1.222983897,2.736613851
2014/1/23,46.25374757,-2.974059351,5.529643614,1.167170568,3.001325791
2014/1/24,46.38481296,-3.02071487,4.78859804,0.785366124,3.004829547
2014/1/27,46.51349399,-3.207733288,4.676178541,0.129343582,2.903514793
2014/1/28,46.63975136,-3.190271993,5.044681995,0.403405242,2.880887222
2014/1/29,46.76354678,-3.286585367,4.770798816,0.283429362,2.80081663
2014/1/30,46.884843,-3.367351296,3.889309544,0.390458581,2.529809012
2014/2/7,47.42936154,-3.622078319,3.898082404,0.083722854,3.156981468
2014/2/10,47.50419429,-4.139213457,3.753883912,0.288082883,3.247686961
2014/2/11,47.57550823,-4.123846485,2.693174203,0.369467829,3.32510228
2014/2/12,47.64325546,-4.257793265,1.813734067,0.356005738,3.22664702
2014/2/13,47.70738902,-4.363882111,2.964538219,0.569470521,3.393168604
2014/2/14,47.76786293,-4.30971611,4.097768377,0.828571989,3.569044104
2014/2/17,47.82463218,-4.385743184,2.148861621,0.856005662,3.684810523
2014/2/18,47.8776527,-4.283210313,2.14621404,1.033598931,3.812965085
2014/2/19,47.92688144,-4.419901611,2.017127458,0.998801861,3.722039336
2014/2/20,47.97227628,-4.303577128,1.798610244,1.134454046,3.904263052
2014/2/21,48.01379617,-4.186250305,1.227246811,0.596048941,4.039775982
2014/2/24,48.05140103,-4.203859439,0.559828914,0.517791358,4.163175552
2014/2/25,48.08505189,-4.40762065,-0.03906974,0.387268666,4.322259894
2014/2/26,48.11471088,-4.171104907,-1.309042093,1.611876439,4.273741569
2014/2/27,48.14034128,-4.123955427,-1.307712825,1.702777783,4.246492973
2014/2/28,48.1619076,-4.034181784,-1.207341915,2.170635581,4.563552797
2014/3/3,48.16475855,-3.590308993,-2.433250986,2.515666128,4.743066599
2014/3/4,48.1632459,-3.841316456,-1.290800575,2.961958178,4.753914923
2014/3/5,48.15733227,-4.305089686,1.294757322,2.691974888,4.778169855
2014/3/6,48.14698163,-4.218600375,-1.072759941,2.444676319,5.133581531
2014/3/7,48.13215949,-4.159137966,-0.18939574,1.70350593,5.028809357
2014/3/10,48.11283294,-4.328877415,-0.359442464,1.320639322,5.395101641
2014/3/11,48.08897083,-4.222003615,-1.664448446,1.046391096,5.385402194
2014/3/12,48.0605439,-4.258683948,-1.873012815,0.908939082,5.504601625
2014/3/13,48.0275249,-4.170056288,-1.009003464,0.958693802,5.663216534
2014/3/14,47.98988883,-4.088168063,-1.145607424,1.038644098,5.677234858
2014/3/17,47.94761304,-4.414308718,-1.54368709,1.249136492,5.723967367
2014/3/18,47.90067745,-4.254323008,-0.429285546,1.298639448,5.933757824
2014/3/19,47.84906474,-4.244244486,1.203689267,1.452035468,5.903842337
2014/3/20,47.79276057,-4.341291697,0.468296466,1.451840125,5.860317528
2014/3/21,47.73175371,-4.085569609,1.219587697,1.39803498,5.94298131
2014/3/24,47.66603633,-4.13673614,1.511229087,1.457281811,6.035425575
2014/3/25,47.59560416,-4.216252433,1.850426626,1.436525702,6.231700211
2014/3/26,47.52045669,-4.346349272,2.009644239,1.460323194,6.281798546
2014/3/27,47.4405974,-4.218833928,4.819703096,1.44555523,6.394083952
2014/3/28,47.35603393,-4.199953861,2.285849914,1.250188365,6.379978735
2014/3/31,47.2667783,-4.323655647,1.540334013,0.914893036,6.576382204
2014/4/1,47.17128745,-4.484694758,1.701665079,0.974773113,6.54778689
2014/4/2,47.07287688,-4.040072744,1.597674565,0.79631337,6.587003885
2014/4/3,46.97156722,-3.69091597,1.898323743,0.561411722,6.518841798
2014/4/4,46.86738008,-3.263085138,-0.505526214,0.3647653,6.551265795
2014/4/8,46.65046475,-3.338673543,0.715797364,0.008451998,6.890524578
2014/4/9,46.53778497,-3.129876841,0.873881619,-0.144131023,6.913205835
2014/4/10,46.42232461,-2.939695948,1.184945359,0.019353491,7.011443982
2014/4/11,46.30411081,-2.788085617,1.654503455,-0.432714045,6.956165343
2014/4/14,46.18317195,-2.099399963,1.344873698,-0.004817914,6.941582789
2014/4/15,46.05953775,-2.083335818,1.117968804,0.114540445,7.027322463
2014/4/16,45.93323927,-1.576035995,-0.782003256,0.565974377,6.920251227
2014/4/17,45.80430901,-1.829204446,-0.472762294,0.287202145,7.182822592
2014/4/18,45.67278088,-1.84620175,-0.278623056,0.847146922,7.184472176
2014/4/21,45.53869031,-1.870127999,-0.784034021,1.636300997,7.323241549
2014/4/22,45.40207424,-2.098684546,-0.115131084,2.500909022,7.344716516
2014/4/23,45.26297116,-2.094076403,-1.093508358,2.687749179,7.486053343
2014/4/24,45.12142114,-2.144885375,-1.845861585,2.58440962,7.529226212
2014/4/25,44.97746585,-2.476614472,-2.122449308,2.524885265,7.524297696
2014/4/28,44.83114858,-2.625550099,0.988119932,2.693790346,7.559533623
2014/4/29,44.68251423,-2.617964771,1.296745329,2.57317228,7.465748666
2014/4/30,44.53160934,-2.527938931,2.492363321,3.098106867,7.462150791
2014/5/5,44.03559669,-2.871388426,-0.163875044,3.33262236,7.715852252
2014/5/6,43.86606526,-3.140374821,0.150690918,3.338898113,7.917481837
2014/5/7,43.69455715,-2.87721449,-0.097268766,3.732386742,7.907785406
2014/5/8,43.52112134,-2.908742957,0.369428481,4.041551887,7.765377054
2014/5/9,43.34580848,-2.960568266,0.058010115,4.300565152,7.888770042
2014/5/12,43.16867087,-2.802590149,0.530192586,4.527415788,8.081889632
2014/5/13,42.98976238,-2.500677968,0.686778888,4.741456725,8.069025732
2014/5/14,42.80913849,-2.309982092,1.120554036,4.786762025,8.22487728
2014/5/15,42.62685618,-2.457224561,0.824581117,4.415589824,8.303624375
2014/5/16,42.44297393,-2.570871051,-0.185741152,4.467363327,8.306117622
2014/5/19,42.25755164,-2.782612836,-1.020212026,4.345931276,8.518379332
2014/5/20,42.07065061,-2.756762257,-1.524569052,4.263403663,8.431917797
2014/5/21,41.88233345,-2.484022109,-1.719380542,4.088233727,8.451841839
2014/5/22,41.69266405,-2.28002329,-1.065553604,4.024112439,8.555005312
2014/5/23,41.50170751,-2.191458964,-1.37401593,3.623845369,8.389930709
2014/5/26,41.30953006,-2.219820196,-1.628785635,3.592808887,8.464340995
2014/5/27,41.11619906,-2.216085713,-1.581739129,3.414051553,8.461703794
2014/5/28,40.92178285,-2.419401808,-0.682241031,3.354246105,8.595213211
2014/5/29,40.72635077,-2.031609755,-0.917270798,3.238233888,8.464918691
2014/5/30,40.52997303,-2.008905944,-1.622133672,3.275023732,8.346803783
2014/6/3,40.14023187,-2.01764518,-2.48240226,3.331281555,8.231864898
2014/6/4,39.9515391,-2.243781869,-2.394094096,3.461243464,8.214011222
2014/6/5,39.76708702,-2.08346188,-2.589206695,3.800969822,8.243302899
2014/6/6,39.58696953,-2.203674957,-2.508638969,3.868031816,7.954728702
2014/6/9,39.41128308,-2.145845513,-3.080595363,3.803087797,7.909499095
2014/6/10,39.24012727,-2.083478949,-3.980930807,3.54576395,7.856251232
2014/6/11,39.07360545,-1.80030176,-4.353990153,3.458591435,7.684206287
2014/6/12,38.9118254,-1.345300616,-3.74730223,3.785991505,7.691115653
2014/6/13,38.75490006,-1.377474085,-3.850982452,4.110182666,7.61442804
2014/6/16,38.60294825,-1.705716854,-4.113532368,4.011867656,7.630306008
2014/6/17,38.45609549,-1.528163399,-4.047581735,4.138007214,7.588159599
2014/6/18,38.31447489,-1.515413045,-3.931704652,3.874185578,7.650588232
2014/6/19,38.17822805,-1.454557016,-4.424517432,3.30827196,7.850902517
2014/6/20,38.04750615,-0.800190175,-5.137686861,2.26808999,7.975669011
2014/6/23,37.92247104,-0.680531389,-4.478378335,2.969228501,8.170307872
2014/6/24,37.80329645,-0.659224742,-3.87268572,3.874648912,8.162252788
2014/6/25,37.69016942,-0.749562898,-3.842120286,4.160170163,8.239876853
