,,,sharpe,returns,drawdown,calmar
1,120,1,0.59,0.107,0.343,0.313
1,120,20,0.32,0.056,0.433,0.129
1,120,60,-0.507,-0.094,0.834,-0.113
1,120,120,0.116,0.02,0.408,0.049
1,250,1,0.218,0.039,0.415,0.095
1,250,20,-0.47,-0.093,0.878,-0.106
1,250,60,-0.227,-0.042,0.551,-0.076
1,250,120,-0.167,-0.035,0.795,-0.044
1,500,1,0.08,0.018,0.686,0.026
1,500,20,0.245,0.058,0.66,0.088
1,500,60,-0.036,-0.009,0.596,-0.015
1,500,120,0.068,0.014,0.455,0.031
1,750,1,0.345,0.058,0.318,0.181
1,750,20,0.496,0.081,0.315,0.259
1,750,60,0.197,0.031,0.371,0.084
1,750,120,0.703,0.116,0.185,0.625
3,120,1,1.333,0.239,0.334,0.716
3,120,20,0.298,0.052,0.3,0.173
3,120,60,-0.122,-0.022,0.443,-0.05
3,120,120,0.128,0.022,0.471,0.046
3,250,1,1.143,0.198,0.188,1.053
3,250,20,-0.237,-0.043,0.574,-0.075
3,250,60,0.142,0.023,0.333,0.07
3,250,120,-0.028,-0.006,0.506,-0.011
3,500,1,0.679,0.135,0.447,0.302
3,500,20,-0.203,-0.045,0.498,-0.09
3,500,60,0.045,0.01,0.421,0.023
3,500,120,-0.183,-0.042,0.454,-0.093
3,750,1,0.858,0.143,0.223,0.644
3,750,20,0.385,0.065,0.331,0.196
3,750,60,0.541,0.083,0.267,0.312
3,750,120,0.906,0.149,0.247,0.602
5,120,1,1.381,0.237,0.243,0.976
5,120,20,0.255,0.047,0.309,0.151
5,120,60,0.264,0.052,0.422,0.122
5,120,120,0.374,0.065,0.368,0.176
5,250,1,0.845,0.15,0.314,0.477
5,250,20,0.06,0.011,0.666,0.017
5,250,60,0.358,0.061,0.372,0.164
5,250,120,0.126,0.023,0.512,0.046
5,500,1,0.1,0.022,0.744,0.03
5,500,20,-0.138,-0.032,0.658,-0.049
5,500,60,-0.476,-0.098,0.519,-0.19
5,500,120,-0.619,-0.128,0.756,-0.17
5,750,1,0.67,0.114,0.176,0.645
5,750,20,0.138,0.023,0.288,0.08
5,750,60,0.188,0.027,0.198,0.135
5,750,120,0.585,0.087,0.209,0.418
20,120,1,2.232,0.405,0.2,2.029
20,120,20,2.232,0.405,0.2,2.029
20,120,60,0.887,0.178,0.628,0.283
20,120,120,0.335,0.07,0.891,0.078
20,250,1,1.264,0.222,0.201,1.105
20,250,20,1.264,0.222,0.201,1.105
20,250,60,0.853,0.148,0.349,0.424
20,250,120,0.513,0.108,0.606,0.178
20,500,1,0.555,0.12,0.647,0.186
20,500,20,0.555,0.12,0.647,0.186
20,500,60,-0.214,-0.052,1.031,-0.051
20,500,120,0.166,0.032,0.625,0.051
20,750,1,1.487,0.254,0.124,2.042
20,750,20,1.487,0.254,0.124,2.042
20,750,60,0.699,0.12,0.214,0.56
20,750,120,0.758,0.137,0.252,0.545
