,,,,sharpe,returns,drawdown,calmar
20,LinearRegression,500,60,0.971,0.213,0.538,0.395
20,LinearRegression,500,120,0.358,0.087,0.643,0.136
20,LinearRegression,750,1,1.163,0.238,0.538,0.442
20,LinearRegression,750,20,1.163,0.238,0.538,0.442
20,LinearRegression,750,60,0.681,0.162,0.549,0.295
20,LinearRegression,750,120,0.07,0.018,0.688,0.026
20,LogisticRegression,120,1,1.41,0.274,0.252,1.086
20,LogisticRegression,120,20,1.41,0.274,0.252,1.086
20,LogisticRegression,120,60,0.342,0.059,0.406,0.145
20,LogisticRegression,120,120,0.073,0.014,0.467,0.03
20,LogisticRegression,250,1,1.171,0.202,0.277,0.728
20,LogisticRegression,250,20,1.171,0.202,0.277,0.728
20,LogisticRegression,250,60,0.407,0.073,0.287,0.254
20,LogisticRegression,250,120,-0.23,-0.049,0.866,-0.057
20,LogisticRegression,500,1,0.823,0.165,0.5,0.33
20,LogisticRegression,500,20,0.823,0.165,0.5,0.33
20,LogisticRegression,500,60,0.446,0.096,0.643,0.149
20,LogisticRegression,500,120,0.025,0.006,0.587,0.01
20,LogisticRegression,750,1,1.413,0.266,0.354,0.75
20,LogisticRegression,750,20,1.413,0.266,0.354,0.75
20,LogisticRegression,750,60,0.553,0.115,0.463,0.248
20,LogisticRegression,750,120,0.044,0.01,0.561,0.018
