,PRE_CLOSE,OPEN,HIGH,LOW,CLOSE,VOLUME,AMT,VWAP,PRE_SETTLE,SETTLE,OI,LTDATE_NEW
2022-03-15,100.07,99.925,99.955,99.6,99.65,450.0,448920899.99999994,99.76019999999998,100.035,99.6,80.0,2022-12-09
2022-03-16,99.65,99.65,99.99,99.45,99.71,156.0,155743900.0,99.83583333333334,99.6,99.72,104.0,2022-12-09
2022-03-17,99.71,99.715,99.825,99.715,99.74,48.0,47889100.0,99.76895833333333,99.72,99.76,118.0,2022-12-09
2022-03-18,99.74,99.845,100.0,99.835,99.96,63.0,62943350.0,99.91007936507935,99.76,99.975,148.0,2022-12-09
2022-03-21,99.96,99.795,99.87,99.77,99.795,184.0,183660800.00000003,99.81565217391307,99.975,99.8,221.0,2022-12-09
2022-03-22,99.795,99.61,99.635,99.48,99.485,271.0,269833100.0,99.56940959409594,99.8,99.495,392.0,2022-12-09
2022-03-23,99.485,99.485,99.69,99.485,99.535,257.0,255914700.0,99.57770428015564,99.495,99.61,407.0,2022-12-09
2022-03-24,99.535,99.5,99.725,99.46,99.725,196.0,195070600.0,99.52581632653062,99.61,99.64,454.0,2022-12-09
2022-03-25,99.725,99.725,99.8,99.7,99.78,74.0,73817250.0,99.75304054054054,99.64,99.775,488.0,2022-12-09
2022-03-28,99.78,99.915,99.915,99.75,99.785,93.0,92824850.0,99.81166666666667,99.775,99.8,501.0,2022-12-09
2022-03-29,99.785,99.815,99.855,99.795,99.805,18.0,17967150.0,99.8175,99.8,99.81,497.0,2022-12-09
2022-03-30,99.805,99.985,100.06,99.88,100.0,71.0,70976200.0,99.96647887323944,99.81,99.995,517.0,2022-12-09
2022-03-31,100.0,99.955,99.99,99.76,99.795,308.0,307472850.0,99.8288474025974,99.995,99.79,598.0,2022-12-09
2022-04-01,99.795,99.845,100.005,99.845,99.975,36.0,35973950.0,99.9276388888889,99.79,99.96,600.0,2022-12-09
2022-04-06,99.975,99.985,100.13,99.985,100.03,112.0,112063950.0,100.05709821428572,99.96,100.035,636.0,2022-12-09
2022-04-07,100.03,100.085,100.24,100.05,100.22,238.0,238262550.0,100.11031512605041,100.035,100.165,732.0,2022-12-09
2022-04-08,100.22,100.17,100.22,100.05,100.11,310.0,310397600.0,100.12825806451613,100.165,100.115,772.0,2022-12-09
2022-04-11,100.11,100.1,100.15,99.915,99.94,435.0,434915000.0,99.98045977011495,100.115,99.95,954.0,2022-12-09
2022-04-12,99.94,100.01,100.245,99.76,99.82,798.0,797969600.0000001,99.99619047619049,99.95,99.86,1323.0,2022-12-09
2022-04-13,99.82,99.945,99.98,99.89,99.96,208.0,207871750.0,99.93834134615385,99.86,99.95,1402.0,2022-12-09
2022-04-14,99.96,100.12,100.13,99.97,99.985,864.0,864210250.0,100.02433449074074,99.95,100.015,1705.0,2022-12-09
2022-04-15,99.985,99.94,100.07,99.875,99.96,295.0,294938650.0,99.9792033898305,100.015,100.005,1703.0,2022-12-09
2022-04-18,99.96,99.72,99.77,99.515,99.515,328.0,326838800.0,99.64597560975609,100.005,99.53,1818.0,2022-12-09
2022-04-19,99.515,99.6,99.6,99.47,99.54,665.0,661971649.9999999,99.54460902255637,99.53,99.535,2224.0,2022-12-09
2022-04-20,99.54,99.49,99.505,99.44,99.475,249.0,247678800.0,99.46939759036144,99.535,99.485,2207.0,2022-12-09
2022-04-21,99.475,99.53,99.59,99.515,99.535,114.0,113486500.0,99.54956140350878,99.485,99.56,2199.0,2022-12-09
