,PRE_CLOSE,OPEN,HIGH,LOW,CLOSE,VOLUME,AMT,VWAP,PRE_SETTLE,SETTLE,OI,LTDATE_NEW
2017-06-13,95.36,95.475,95.475,95.28,95.28,37.0,35281750.0,95.35608108108107,95.35,95.28,40.0,2018-03-09
2017-06-14,95.28,95.245,95.495,95.245,95.305,21.0,20022200.0,95.34380952380953,95.28,95.355,55.0,2018-03-09
2017-06-15,95.305,95.525,95.55,95.265,95.265,23.0,21942850.0,95.40369565217391,95.355,95.265,72.0,2018-03-09
2017-06-16,95.265,95.265,95.275,95.15,95.275,9.0,8568650.0,95.20722222222223,95.265,95.275,79.0,2018-03-09
2017-06-19,95.275,95.45,95.6,95.44,95.6,15.0,14322700.0,95.48466666666667,95.275,95.515,85.0,2018-03-09
2017-06-20,95.6,95.605,95.665,95.47,95.47,8.0,7649700.0,95.62125,95.515,95.47,87.0,2018-03-09
2017-06-21,95.47,96.325,96.325,94.705,95.31,64.0,61105649.99999999,95.477578125,95.47,95.31,121.0,2018-03-09
2017-06-22,95.31,95.36,95.36,95.15,95.15,32.0,30469950.0,95.21859375,95.31,95.19,126.0,2018-03-09
2017-06-23,95.15,95.26,95.29,95.2,95.26,9.0,8572150.0,95.24611111111112,95.19,95.24,124.0,2018-03-09
2017-06-26,95.26,95.315,95.61,95.315,95.58,17.0,16236600.0,95.50941176470587,95.24,95.59,131.0,2018-03-09
2017-06-27,95.58,95.685,95.695,95.51,95.585,12.0,11477500.0,95.64583333333334,95.59,95.585,135.0,2018-03-09
2017-06-28,95.585,95.51,95.51,95.46,95.49,5.0,4774350.0,95.487,95.585,95.49,138.0,2018-03-09
2017-06-29,95.49,95.41,95.41,95.24,95.24,47.0,44786049.99999999,95.28946808510636,95.49,95.28,131.0,2018-03-09
2017-06-30,95.24,95.065,95.1,95.015,95.04,14.0,13309050.0,95.06464285714286,95.28,95.07,135.0,2018-03-09
2017-07-03,95.04,95.025,95.04,94.85,94.85,35.0,33228000.0,94.93714285714285,95.07,94.885,150.0,2018-03-09
2017-07-04,94.85,94.9,94.955,94.87,94.955,12.0,11391600.0,94.93,94.885,94.93,151.0,2018-03-09
2017-07-05,94.955,94.995,95.14,94.905,95.14,14.0,13302900.0,95.02071428571428,94.93,95.085,150.0,2018-03-09
2017-07-06,95.14,95.27,95.345,95.27,95.315,11.0,10483050.0,95.30045454545454,95.085,95.325,151.0,2018-03-09
2017-07-07,95.315,95.275,95.275,95.1,95.1,8.0,7612900.0,95.16125,95.325,95.125,153.0,2018-03-09
2017-07-10,95.1,94.71,95.095,94.71,95.005,35.0,33263900.0,95.03971428571428,95.125,95.025,155.0,2018-03-09
2017-07-11,95.005,95.07,95.16,95.07,95.16,6.0,5706650.0,95.11083333333333,95.025,95.16,153.0,2018-03-09
2017-07-12,95.16,95.3,95.3,95.1,95.1,5.0,4759150.0,95.183,95.16,95.115,153.0,2018-03-09
2017-07-13,95.1,95.305,95.435,95.175,95.175,21.0,20025250.0,95.35833333333333,95.115,95.175,161.0,2018-03-09
2017-07-14,95.175,95.255,95.325,95.255,95.29,5.0,4764500.0,95.29,95.175,95.31,162.0,2018-03-09
2017-07-17,95.29,95.535,95.605,95.415,95.42,49.0,46798650.0,95.50744897959183,95.31,95.435,170.0,2018-03-09
2017-07-18,95.42,95.105,95.295,95.08,95.08,32.0,30445850.0,95.14328125,95.435,95.08,188.0,2018-03-09
2017-07-19,95.08,95.24,95.25,95.1,95.1,10.0,9516500.0,95.165,95.08,95.1,191.0,2018-03-09
2017-07-20,95.1,95.25,95.305,95.17,95.245,16.0,15240600.0,95.25375,95.1,95.245,187.0,2018-03-09
2017-07-21,95.245,95.345,95.345,95.175,95.21,15.0,14281250.0,95.20833333333334,95.245,95.21,198.0,2018-03-09
