,PRE_CLOSE,OPEN,HIGH,LOW,CLOSE,VOLUME,AMT,VWAP,PRE_SETTLE,SETTLE,OI,LTDATE_NEW
2019-03-12,97.12,97.23,97.35,97.17,97.17,12.0,11673599.999999998,97.27999999999999,97.12,97.17,12.0,2019-12-13
2019-03-13,97.17,97.23,97.35,97.17,97.17,0.0,0.0,97.27999999999999,97.17,97.185,12.0,2019-12-13
2019-03-14,97.17,97.115,97.13,97.005,97.005,15.0,14563550.0,97.09033333333333,97.185,97.05,16.0,2019-12-13
2019-03-15,97.005,97.195,97.195,96.82,97.15,7.0,6791600.0,97.02285714285715,97.05,97.15,19.0,2019-12-13
2019-03-18,97.15,97.195,97.195,96.82,97.15,0.0,0.0,97.02285714285715,97.15,96.995,19.0,2019-12-13
2019-03-19,97.15,97.04,97.04,97.04,97.04,1.0,970400.0000000001,97.04,96.995,97.04,20.0,2019-12-13
2019-03-20,97.04,96.625,97.165,96.625,96.91,8.0,7757800.0,96.9725,97.04,96.955,25.0,2019-12-13
2019-03-21,96.91,97.25,97.28,97.005,97.005,11.0,10689900.0,97.1809090909091,96.955,97.08,30.0,2019-12-13
2019-03-22,97.005,97.375,97.775,97.26,97.26,12.0,11692800.0,97.44,97.08,97.44,34.0,2019-12-13
2019-03-25,97.26,97.375,97.775,97.26,97.26,0.0,0.0,97.44,97.44,97.76,34.0,2019-12-13
2019-03-26,97.26,97.65,97.65,97.65,97.65,1.0,976500.0,97.65,97.76,97.65,34.0,2019-12-13
2019-03-27,97.65,97.45,97.45,97.45,97.45,2.0,1949000.0,97.45,97.65,97.45,34.0,2019-12-13
2019-03-28,97.45,97.495,97.495,97.495,97.495,1.0,974950.0,97.495,97.45,97.495,34.0,2019-12-13
2019-03-29,97.495,97.42,97.505,97.42,97.505,3.0,2923450.0000000005,97.44833333333335,97.495,97.505,35.0,2019-12-13
2019-04-01,97.505,97.31,97.31,96.955,96.96,41.0,39799050.0,97.07085365853659,97.505,97.005,67.0,2019-12-13
2019-04-02,96.96,96.815,96.815,96.695,96.71,23.0,22253600.0,96.75478260869565,97.005,96.76,73.0,2019-12-13
2019-04-03,96.71,96.685,96.685,96.11,96.135,49.0,47211950.0,96.35091836734694,96.76,96.19,107.0,2019-12-13
2019-04-04,96.135,95.95,96.155,95.9,95.9,8.0,7680350.0,96.004375,96.19,95.935,110.0,2019-12-13
2019-04-08,95.9,96.05,96.215,95.91,96.06,18.0,17293150.0,96.07305555555556,95.935,96.06,126.0,2019-12-13
2019-04-09,96.06,96.075,96.075,95.945,95.945,24.0,23037700.0,95.99041666666666,96.06,95.95,144.0,2019-12-13
