,PRE_CLOSE,OPEN,HIGH,LOW,CLOSE,VOLUME,AMT,VWAP,PRE_SETTLE,SETTLE,OI,LTDATE_NEW
2021-06-16,97.175,97.155,97.23,97.13,97.145,45.0,43723250.0,97.16277777777778,97.155,97.15,72.0,2022-03-11
2021-06-17,97.145,97.05,97.175,97.02,97.02,59.0,57280850.0,97.08618644067796,97.15,97.055,100.0,2022-03-11
2021-06-18,97.02,97.11,97.295,97.09,97.28,40.0,38880250.0,97.200625,97.055,97.28,113.0,2022-03-11
2021-06-21,97.28,97.435,97.53,97.37,97.53,22.0,21437399.999999996,97.44272727272725,97.28,97.53,122.0,2022-03-11
2021-06-22,97.53,97.505,97.605,97.505,97.58,36.0,35114550.0,97.54041666666666,97.53,97.535,137.0,2022-03-11
2021-06-23,97.58,97.615,97.7,97.61,97.64,25.0,24412650.0,97.6506,97.535,97.625,152.0,2022-03-11
2021-06-24,97.64,97.765,97.765,97.66,97.66,13.0,12703050.0,97.71576923076923,97.625,97.66,158.0,2022-03-11
2021-06-25,97.66,97.65,97.7,97.57,97.7,9.0,8784950.0,97.61055555555555,97.66,97.7,163.0,2022-03-11
2021-06-28,97.7,97.695,97.75,97.525,97.525,36.0,35134000.0,97.59444444444445,97.7,97.55,193.0,2022-03-11
2021-06-29,97.525,97.51,97.67,97.51,97.67,38.0,37083600.0,97.58842105263159,97.55,97.62,183.0,2022-03-11
2021-06-30,97.67,97.6,97.745,97.6,97.715,34.0,33219200.0,97.7035294117647,97.62,97.715,193.0,2022-03-11
2021-07-01,97.715,97.78,97.845,97.615,97.615,55.0,53738750.0,97.70681818181818,97.715,97.62,227.0,2022-03-11
2021-07-02,97.615,97.67,97.745,97.67,97.745,4.0,3908200.0,97.705,97.62,97.745,228.0,2022-03-11
2021-07-05,97.745,97.78,97.785,97.63,97.71,34.0,33214400.0,97.68941176470588,97.745,97.71,256.0,2022-03-11
2021-07-06,97.71,97.68,97.72,97.6,97.605,61.0,59571100.0,97.65754098360657,97.71,97.61,298.0,2022-03-11
2021-07-07,97.605,97.68,97.92,97.625,97.92,57.0,55722150.0,97.75815789473684,97.61,97.79,289.0,2022-03-11
2021-07-08,97.92,98.19,98.385,98.115,98.33,69.0,67799150.0,98.25963768115942,97.79,98.345,296.0,2022-03-11
2021-07-09,98.33,98.3,98.385,98.19,98.25,50.0,49142600.0,98.2852,98.345,98.235,309.0,2022-03-11
2021-07-12,98.25,98.345,98.65,98.335,98.62,70.0,68961300.0,98.51614285714285,98.235,98.62,334.0,2022-03-11
2021-07-13,98.62,98.7,98.75,98.66,98.715,53.0,52309000.0,98.69622641509434,98.62,98.685,355.0,2022-03-11
2021-07-14,98.715,98.75,99.0,98.71,98.925,75.0,74155600.0,98.87413333333333,98.685,98.965,372.0,2022-03-11
2021-07-15,98.925,98.85,98.85,98.52,98.55,177.0,174718400.0,98.7109604519774,98.965,98.565,435.0,2022-03-11
2021-07-16,98.55,98.63,98.7,98.555,98.67,22.0,21694500.0,98.61136363636363,98.565,98.67,433.0,2022-03-11
2021-07-19,98.67,98.64,98.7,98.6,98.66,70.0,69055150.0,98.65021428571428,98.67,98.68,462.0,2022-03-11
2021-07-20,98.66,98.75,98.87,98.745,98.75,40.0,39524600.0,98.8115,98.68,98.78,457.0,2022-03-11
2021-07-21,98.75,98.75,98.9,98.75,98.9,25.0,24709550.0,98.8382,98.78,98.875,447.0,2022-03-11
2021-07-22,98.9,98.8,98.815,98.75,98.815,19.0,18767450.0,98.77605263157895,98.875,98.775,445.0,2022-03-11
2021-07-23,98.815,98.85,98.935,98.85,98.905,21.0,20765800.0,98.8847619047619,98.775,98.865,436.0,2022-03-11
2021-07-26,98.905,99.0,99.13,98.97,99.07,46.0,45571300.0,99.06804347826086,98.865,99.095,447.0,2022-03-11
2021-07-27,99.07,99.0,99.15,98.655,98.655,116.0,114802350.0,98.96754310344828,99.095,98.885,448.0,2022-03-11
2021-07-28,98.655,98.78,98.955,98.78,98.835,39.0,38551000.0,98.84871794871795,98.885,98.82,446.0,2022-03-11
2021-07-29,98.835,98.895,99.01,98.68,99.01,26.0,25723700.0,98.93730769230768,98.82,99.0,447.0,2022-03-11
2021-07-30,99.01,99.15,99.505,99.15,99.505,82.0,81413800.0,99.28512195121951,99.0,99.41,456.0,2022-03-11
2021-08-02,99.505,99.6,99.74,99.51,99.645,67.0,66755500.0,99.63507462686567,99.41,99.615,446.0,2022-03-11
2021-08-03,99.645,99.6,99.62,99.47,99.57,43.0,42806100.0,99.54906976744185,99.615,99.57,448.0,2022-03-11
2021-08-04,99.57,99.57,99.705,99.46,99.56,11.0,10951350.0,99.55772727272728,99.57,99.555,450.0,2022-03-11
2021-08-05,99.56,99.62,99.825,99.55,99.825,44.0,43860150.0,99.6821590909091,99.555,99.79,450.0,2022-03-11
2021-08-06,99.825,99.73,99.755,99.65,99.74,29.0,28916950.0,99.71362068965517,99.79,99.73,458.0,2022-03-11
2021-08-09,99.74,99.49,99.58,99.185,99.255,137.0,136030600.0,99.29240875912409,99.73,99.215,513.0,2022-03-11
2021-08-10,99.255,99.185,99.28,99.1,99.215,72.0,71414100.0,99.18625,99.215,99.21,520.0,2022-03-11
2021-08-11,99.215,99.125,99.19,98.99,99.005,66.0,65394950.0,99.08325757575759,99.21,99.025,569.0,2022-03-11
2021-08-12,99.005,99.21,99.3,99.13,99.195,75.0,74404550.0,99.20606666666666,99.025,99.21,565.0,2022-03-11
2021-08-13,99.195,99.235,99.245,99.11,99.21,39.0,38679400.0,99.17794871794871,99.21,99.21,583.0,2022-03-11
2021-08-16,99.21,99.21,99.335,99.125,99.125,55.0,54599200.0,99.27127272727273,99.21,99.165,622.0,2022-03-11
2021-08-17,99.125,99.275,99.33,99.115,99.315,80.0,79390200.0,99.23775,99.165,99.295,616.0,2022-03-11
2021-08-18,99.315,99.3,99.715,99.25,99.715,122.0,121509050.0,99.59758196721312,99.295,99.68,656.0,2022-03-11
