,PRE_CLOSE,OPEN,HIGH,LOW,CLOSE,VOLUME,AMT,VWAP,PRE_SETTLE,SETTLE,OI,LTDATE_NEW
2016-03-15,98.3,98.3,98.45,98.24,98.45,49.0,48199600.0,98.3665306122449,98.295,98.42,86.0,2016-12-09
2016-03-16,98.45,98.585,98.765,98.51,98.515,11.0,10844200.0,98.58363636363636,98.42,98.58,89.0,2016-12-09
2016-03-17,98.515,98.5,98.595,98.5,98.56,219.0,215809500.0,98.5431506849315,98.58,98.545,303.0,2016-12-09
2016-03-18,98.56,98.53,98.53,98.44,98.5,28.0,27573649.999999996,98.47732142857141,98.545,98.49,320.0,2016-12-09
2016-03-21,98.5,98.4,98.405,98.255,98.345,66.0,64909200.0,98.34727272727272,98.49,98.355,365.0,2016-12-09
2016-03-22,98.345,98.39,98.5,98.345,98.475,53.0,52150450.0,98.3970754716981,98.355,98.44,384.0,2016-12-09
2016-03-23,98.475,98.51,98.585,98.45,98.45,187.0,184273200.0,98.54181818181817,98.44,98.505,542.0,2016-12-09
2016-03-24,98.45,98.55,98.66,98.55,98.66,58.0,57184150.0,98.59336206896552,98.505,98.635,570.0,2016-12-09
2016-03-25,98.66,98.65,98.65,98.45,98.49,159.0,156699600.0,98.5532075471698,98.635,98.48,680.0,2016-12-09
2016-03-28,98.49,98.49,98.515,98.335,98.4,216.0,212691300.0,98.46819444444445,98.48,98.4,867.0,2016-12-09
2016-03-29,98.4,98.375,98.55,98.32,98.45,156.0,153507050.0,98.40195512820513,98.4,98.43,876.0,2016-12-09
2016-03-30,98.45,98.38,98.505,98.38,98.49,29.0,28554800.0,98.4648275862069,98.43,98.47,885.0,2016-12-09
2016-03-31,98.49,98.505,98.54,98.405,98.465,73.0,71891350.0,98.48130136986302,98.47,98.475,907.0,2016-12-09
2016-04-01,98.465,98.5,98.595,98.42,98.54,71.0,69944950.0,98.51401408450705,98.475,98.54,922.0,2016-12-09
2016-04-05,98.54,98.585,98.59,98.35,98.355,47.0,46283250.0,98.475,98.54,98.395,957.0,2016-12-09
2016-04-06,98.355,98.41,98.6,98.165,98.195,118.0,115960600.0,98.27169491525424,98.395,98.21,979.0,2016-12-09
2016-04-07,98.195,98.15,98.22,98.01,98.015,46.0,45112550.0,98.07076086956522,98.21,98.015,1012.0,2016-12-09
2016-04-08,98.015,98.07,98.08,97.85,97.875,182.0,178250950.0,97.94008241758242,98.015,97.88,1088.0,2016-12-09
2016-04-11,97.875,97.8,97.865,97.73,97.73,76.0,74309700.0,97.77592105263159,97.88,97.74,1147.0,2016-12-09
2016-04-12,97.73,97.685,97.76,97.61,97.68,118.0,115294750.0,97.70741525423729,97.74,97.665,1236.0,2016-12-09
2016-04-13,97.68,97.8,98.2,97.39,97.46,139.0,135497600.0,97.48028776978417,97.665,97.445,1304.0,2016-12-09
2016-04-14,97.46,97.465,97.48,97.205,97.235,112.0,109103349.99999999,97.41370535714285,97.445,97.255,1344.0,2016-12-09
2016-04-15,97.235,97.365,97.53,97.365,97.52,145.0,141319000.0,97.46137931034482,97.255,97.49,1392.0,2016-12-09
2016-04-18,97.52,97.57,97.655,97.5,97.57,88.0,85868100.0,97.57738636363636,97.49,97.55,1413.0,2016-12-09
2016-04-19,97.57,97.53,97.61,97.505,97.58,177.0,172716800.0,97.58011299435029,97.55,97.595,1521.0,2016-12-09
2016-04-20,97.58,97.5,97.5,97.215,97.23,227.0,220894750.0,97.31046255506608,97.595,97.26,1654.0,2016-12-09
2016-04-21,97.23,97.2,97.215,96.93,96.95,319.0,309678950.0,97.0780407523511,97.26,96.95,1883.0,2016-12-09
2016-04-22,96.95,96.975,97.115,96.9,96.955,106.0,102809400.0,96.99,96.95,96.97,1954.0,2016-12-09
2016-04-25,96.955,96.82,96.825,96.595,96.595,227.0,219458800.0,96.67788546255507,96.97,96.62,2117.0,2016-12-09
2016-04-26,96.595,96.615,96.955,96.615,96.94,190.0,183953550.0,96.81765789473684,96.62,96.92,2115.0,2016-12-09
2016-04-27,96.94,96.91,97.225,96.905,96.96,190.0,184388350.0,97.0465,96.92,97.01,2157.0,2016-12-09
2016-04-28,96.96,97.12,97.22,97.065,97.165,120.0,116561350.0,97.13445833333334,97.01,97.19,2171.0,2016-12-09
2016-04-29,97.165,97.2,97.2,97.03,97.05,87.0,84481650.00000001,97.10534482758622,97.19,97.055,2204.0,2016-12-09
2016-05-03,97.05,97.185,97.385,97.16,97.35,247.0,240372949.99999997,97.316983805668,97.055,97.36,2261.0,2016-12-09
2016-05-04,97.35,97.345,97.495,97.31,97.47,306.0,298192450.0,97.44851307189542,97.36,97.465,2382.0,2016-12-09
2016-05-05,97.47,97.41,97.48,97.38,97.465,121.0,117886050.0,97.42648760330579,97.465,97.45,2409.0,2016-12-09
2016-05-06,97.465,97.42,97.5,97.36,97.465,363.0,353629100.00000006,97.41848484848487,97.45,97.47,2528.0,2016-12-09
2016-05-09,97.465,97.6,98.07,97.565,98.04,482.0,471791950.0,97.88214730290456,97.47,97.98,2504.0,2016-12-09
2016-05-10,98.04,98.04,98.585,98.015,98.23,804.0,790105000.0,98.27176616915422,97.98,98.15,2743.0,2016-12-09
2016-05-11,98.23,98.2,98.275,98.005,98.21,433.0,425144300.0,98.1857505773672,98.15,98.18,2814.0,2016-12-09
2016-05-12,98.21,98.265,98.5,98.265,98.495,362.0,356328050.0,98.43316298342542,98.18,98.46,2867.0,2016-12-09
2016-05-13,98.495,98.545,98.65,98.355,98.405,692.0,681251799.9999999,98.44679190751444,98.46,98.37,3203.0,2016-12-09
2016-05-16,98.405,98.56,98.56,98.06,98.09,831.0,816477200.0,98.25237063778579,98.37,98.155,3521.0,2016-12-09
2016-05-17,98.09,98.13,98.235,98.01,98.07,350.0,343311600.00000006,98.08902857142859,98.155,98.065,3649.0,2016-12-09
2016-05-18,98.07,98.015,98.015,97.82,97.85,400.0,391548850.0,97.8872125,98.065,97.835,3817.0,2016-12-09
2016-05-19,97.85,97.83,97.98,97.675,97.89,296.0,289605500.0,97.83969594594593,97.835,97.84,3855.0,2016-12-09
2016-05-20,97.89,97.955,98.13,97.94,98.1,300.0,294041550.0,98.01385,97.84,98.09,3835.0,2016-12-09
2016-05-23,98.1,98.145,98.165,97.96,98.065,311.0,304912200.0,98.04250803858521,98.09,98.055,3894.0,2016-12-09
2016-05-24,98.065,98.09,98.3,98.065,98.3,334.0,328010150.0,98.20663173652694,98.055,98.28,3897.0,2016-12-09
2016-05-25,98.3,98.33,98.375,98.24,98.355,388.0,381500800.0,98.32494845360824,98.28,98.355,3975.0,2016-12-09
2016-05-26,98.355,98.305,98.35,98.185,98.28,587.0,576722400.0,98.24913117546849,98.355,98.27,4183.0,2016-12-09
2016-05-27,98.28,98.255,98.275,98.14,98.24,326.0,320213400.0,98.22496932515338,98.27,98.215,4296.0,2016-12-09
2016-05-30,98.24,98.285,98.34,98.065,98.08,600.0,589128600.0,98.1881,98.215,98.14,4451.0,2016-12-09
2016-05-31,98.08,98.16,98.295,98.085,98.295,616.0,604907450.0,98.19926136363637,98.14,98.245,4581.0,2016-12-09
2016-06-01,98.295,98.275,98.3,98.18,98.24,280.0,275052950.0,98.23319642857143,98.245,98.24,4629.0,2016-12-09
2016-06-02,98.24,98.24,98.24,98.09,98.15,343.0,336681950.0,98.1580029154519,98.24,98.13,4788.0,2016-12-09
2016-06-03,98.15,98.055,98.16,97.995,98.16,554.0,543224250.0,98.05491877256317,98.13,98.12,4975.0,2016-12-09
2016-06-06,98.16,98.2,98.295,98.175,98.235,436.0,428292750.0,98.23228211009175,98.12,98.235,5113.0,2016-12-09
2016-06-07,98.235,98.195,98.265,98.15,98.15,224.0,219962500.0,98.19754464285715,98.235,98.165,5174.0,2016-12-09
2016-06-08,98.15,98.145,98.24,98.12,98.15,475.0,466350850.0,98.17912631578947,98.165,98.165,5201.0,2016-12-09
2016-06-13,98.15,98.19,98.385,98.19,98.385,418.0,410869900.0,98.29423444976076,98.165,98.315,5193.0,2016-12-09
2016-06-14,98.385,98.395,98.675,98.395,98.64,1259.0,1241198900.0,98.58609213661636,98.315,98.62,5451.0,2016-12-09
2016-06-15,98.64,98.66,98.76,98.6,98.75,586.0,578283900.0,98.68325938566554,98.62,98.735,5616.0,2016-12-09
2016-06-16,98.75,98.785,99.115,98.785,99.07,1074.0,1062717100.0000001,98.9494506517691,98.735,99.055,5856.0,2016-12-09
2016-06-17,99.07,99.015,99.22,99.0,99.135,1947.0,1930127500.0,99.13341037493579,99.055,99.155,6556.0,2016-12-09
2016-06-20,99.135,99.06,99.2,99.01,99.12,972.0,963492600.0,99.12475308641976,99.155,99.16,6850.0,2016-12-09
2016-06-21,99.12,99.09,99.265,99.03,99.26,903.0,895083950.0,99.12336101882613,99.16,99.23,7190.0,2016-12-09
2016-06-22,99.26,99.26,99.44,99.25,99.355,895.0,889300500.0,99.36318435754191,99.23,99.375,7380.0,2016-12-09
2016-06-23,99.355,99.315,99.5,99.285,99.385,1134.0,1127077200.0,99.38952380952381,99.375,99.405,7783.0,2016-12-09
2016-06-24,99.385,99.485,99.88,99.41,99.755,1884.0,1878541850.0,99.71028927813163,99.405,99.745,8396.0,2016-12-09
2016-06-27,99.755,99.8,100.045,99.76,99.98,1688.0,1686561000.0,99.91475118483412,99.745,99.965,8772.0,2016-12-09
2016-06-28,99.98,99.97,100.075,99.67,99.68,1753.0,1751068150.0,99.88979749001712,99.965,99.715,9139.0,2016-12-09
2016-06-29,99.68,99.63,99.79,99.52,99.55,1037.0,1033241700.0,99.63757955641273,99.715,99.57,9267.0,2016-12-09
2016-06-30,99.55,99.65,99.805,99.3,99.755,1734.0,1728215000.0,99.6663783160323,99.57,99.74,9544.0,2016-12-09
2016-07-01,99.755,99.795,100.025,99.795,100.01,883.0,882042750.0,99.89159116647792,99.74,99.98,9633.0,2016-12-09
2016-07-04,100.01,100.02,100.08,99.625,99.685,1871.0,1866583950.0,99.76397381079637,99.98,99.66,10179.0,2016-12-09
2016-07-05,99.685,99.6,99.73,99.53,99.59,1262.0,1257196750.0,99.61939381933439,99.66,99.585,10301.0,2016-12-09
2016-07-06,99.59,99.645,99.91,99.645,99.8,1914.0,1910661099.9999998,99.82555381400208,99.585,99.85,10384.0,2016-12-09
2016-07-07,99.8,99.91,100.055,99.91,100.04,932.0,931946850.0,99.99429721030043,99.85,100.0,10462.0,2016-12-09
2016-07-08,100.04,100.04,100.14,99.875,100.085,1557.0,1556591250.0,99.97374759152216,100.0,100.055,10612.0,2016-12-09
2016-07-11,100.085,99.98,100.02,99.83,99.865,1872.0,1870645050.0,99.92762019230769,100.055,99.86,11051.0,2016-12-09
2016-07-12,99.865,99.85,99.85,99.69,99.705,1805.0,1800404050.0,99.74537673130193,99.86,99.75,11229.0,2016-12-09
2016-07-13,99.705,99.68,99.795,99.605,99.645,1372.0,1367619800.0,99.68074344023324,99.75,99.65,11349.0,2016-12-09
2016-07-14,99.645,99.705,99.83,99.665,99.68,1610.0,1606021200.0,99.7528695652174,99.65,99.695,11876.0,2016-12-09
2016-07-15,99.68,99.75,99.895,99.505,99.89,2553.0,2546208250.0,99.73396983940462,99.695,99.86,11986.0,2016-12-09
2016-07-18,99.89,99.9,99.95,99.8,99.89,1846.0,1843835600.0,99.88275189599133,99.86,99.83,12313.0,2016-12-09
2016-07-19,99.89,99.88,100.01,99.82,99.97,1503.0,1502396600.0,99.95985362608117,99.83,99.97,12641.0,2016-12-09
2016-07-20,99.97,100.02,100.315,100.0,100.295,2200.0,2204250700.0,100.19321363636364,99.97,100.26,13067.0,2016-12-09
2016-07-21,100.295,100.45,100.545,100.31,100.345,2847.0,2858841950.0,100.41594485423254,100.26,100.345,12916.0,2016-12-09
2016-07-22,100.345,100.295,100.425,100.185,100.35,1672.0,1676811000.0,100.28773923444976,100.345,100.37,13162.0,2016-12-09
2016-07-25,100.35,100.32,100.32,100.18,100.21,2059.0,2063582600.0,100.222564351627,100.37,100.2,13488.0,2016-12-09
2016-07-26,100.21,100.19,100.465,100.125,100.43,2070.0,2076922900.0,100.33443961352657,100.2,100.43,14102.0,2016-12-09
2016-07-27,100.43,100.47,100.495,100.3,100.345,2235.0,2243101850.0,100.36249888143176,100.43,100.34,14664.0,2016-12-09
2016-07-28,100.345,100.495,100.6,100.33,100.595,3977.0,3994577750.0,100.441985164697,100.34,100.55,16295.0,2016-12-09
2016-07-29,100.595,100.645,100.655,100.485,100.565,2953.0,2970083200.0,100.5785032170674,100.55,100.575,17190.0,2016-12-09
2016-08-01,100.565,100.695,100.695,100.495,100.525,3101.0,3118780000.0,100.57336343115125,100.575,100.55,17829.0,2016-12-09
2016-08-02,100.525,100.6,100.75,100.47,100.675,4137.0,4162725500.0,100.62183949722021,100.55,100.685,19629.0,2016-12-09
2016-08-03,100.675,100.675,100.86,100.66,100.795,6152.0,6199951000.0,100.77943758127438,100.685,100.755,21044.0,2016-12-09
2016-08-04,100.795,100.8,100.85,100.735,100.85,4009.0,4040686800.0,100.79039161885757,100.755,100.82,21892.0,2016-12-09
2016-08-05,100.85,100.855,101.125,100.855,101.115,5572.0,5629472850.0,101.03145818377602,100.82,101.09,23337.0,2016-12-09
2016-08-08,101.115,101.045,101.11,100.955,101.1,6419.0,6486569200.0,101.05264371397413,101.09,101.06,24531.0,2016-12-09
2016-08-09,101.1,101.105,101.28,101.085,101.2,8557.0,8660443250.0,101.20887285263527,101.06,101.21,26274.0,2016-12-09
2016-08-10,101.2,101.35,101.54,101.1,101.17,16143.0,16359884250.0,101.34351886266494,101.21,101.21,28089.0,2016-12-09
2016-08-11,101.17,101.17,101.365,101.035,101.315,12898.0,13061160049.999998,101.265002713599,101.21,101.315,29379.0,2016-12-09
2016-08-12,101.315,101.315,101.61,101.175,101.55,19153.0,19425292950.0,101.42167258392942,101.315,101.56,30987.0,2016-12-09
2016-08-15,101.55,101.71,101.965,101.61,101.71,24714.0,25150895450.0,101.76780549486121,101.56,101.665,32032.0,2016-12-09
2016-08-16,101.71,101.7,101.825,101.46,101.48,21304.0,21655410299.999996,101.64950384904242,101.665,101.525,32819.0,2016-12-09
2016-08-17,101.48,101.42,101.51,101.32,101.41,17553.0,17803294100.0,101.42593345866803,101.525,101.425,33278.0,2016-12-09
2016-08-18,101.41,101.5,101.585,101.295,101.435,20388.0,20679615500.0,101.43032911516578,101.425,101.435,33625.0,2016-12-09
2016-08-19,101.435,101.38,101.395,101.085,101.185,24507.0,24811806850.0,101.24375423348431,101.435,101.15,33124.0,2016-12-09
2016-08-22,101.185,101.11,101.39,101.07,101.375,16055.0,16253778050.0,101.2381068203052,101.15,101.335,33842.0,2016-12-09
2016-08-23,101.375,101.32,101.35,100.845,100.985,31432.0,31781931050.0,101.11329552685162,101.335,100.965,34352.0,2016-12-09
2016-08-24,100.985,100.86,101.075,100.79,100.97,28394.0,28656666650.0,100.92507800943862,100.965,100.89,33825.0,2016-12-09
2016-08-25,100.97,101.055,101.145,100.845,100.915,22161.0,22377351800.0,100.97627273137493,100.89,100.89,33721.0,2016-12-09
2016-08-26,100.915,100.945,101.185,100.87,101.155,19504.0,19709179650.0,101.05198754101723,100.89,101.14,33312.0,2016-12-09
2016-08-29,101.155,101.055,101.06,100.885,100.955,17526.0,17693711950.0,100.95693227205295,101.14,100.96,33817.0,2016-12-09
2016-08-30,100.955,100.915,100.935,100.605,100.61,24490.0,24675810350.0,100.75871927317273,100.96,100.645,35959.0,2016-12-09
2016-08-31,100.61,100.655,100.785,100.6,100.7,17426.0,17550509950.0,100.71450677149087,100.645,100.725,35713.0,2016-12-09
2016-09-01,100.7,100.66,100.82,100.525,100.77,25206.0,25371920000.0,100.6582559708006,100.725,100.765,35599.0,2016-12-09
2016-09-02,100.77,100.85,100.92,100.69,100.74,18030.0,18174179400.0,100.79966389351083,100.765,100.725,35861.0,2016-12-09
2016-09-05,100.74,100.725,100.76,100.61,100.705,13263.0,13353477700.0,100.68218125612607,100.725,100.715,36040.0,2016-12-09
2016-09-06,100.705,100.7,100.78,100.57,100.62,15084.0,15185055850.0,100.6699539246884,100.715,100.61,36216.0,2016-12-09
2016-09-07,100.62,100.66,100.73,100.49,100.565,16329.0,16427874600.0,100.6055153408047,100.61,100.545,36340.0,2016-12-09
2016-09-08,100.565,100.56,100.77,100.52,100.755,17209.0,17321358650.0,100.65290632808414,100.545,100.745,37231.0,2016-12-09
2016-09-09,100.755,100.715,100.97,100.655,100.85,18616.0,18777266000.0,100.86627632144392,100.745,100.915,37295.0,2016-12-09
2016-09-12,100.85,100.75,100.785,100.605,100.645,15917.0,16024506550.0,100.67541967707483,100.915,100.645,36353.0,2016-12-09
2016-09-13,100.645,100.68,100.945,100.68,100.92,22740.0,22930254350.0,100.83665061565523,100.645,100.9,36396.0,2016-12-09
2016-09-14,100.92,100.865,101.105,100.795,100.975,21223.0,21427928500.0,100.96559628704708,100.9,100.965,36448.0,2016-12-09
2016-09-19,100.975,100.965,101.055,100.89,101.01,11595.0,11707885200.0,100.9735679172057,100.965,101.01,36867.0,2016-12-09
2016-09-20,101.01,101.05,101.22,101.025,101.04,16928.0,17117705950.0,101.12066369328923,101.01,101.055,36667.0,2016-12-09
2016-09-21,101.04,101.01,101.07,100.905,101.035,19104.0,19293142300.0,100.99006647822446,101.055,101.03,37015.0,2016-12-09
2016-09-22,101.035,101.105,101.19,100.99,101.02,15740.0,15911922150.0,101.0922627064803,101.03,101.025,38602.0,2016-12-09
2016-09-23,101.02,101.065,101.205,101.065,101.15,15769.0,15948672500.0,101.1394032595599,101.025,101.12,38598.0,2016-12-09
2016-09-26,101.15,101.155,101.285,101.115,101.25,13341.0,13503915400.0,101.22116333108463,101.12,101.24,39211.0,2016-12-09
2016-09-27,101.25,101.29,101.32,101.14,101.225,13541.0,13706308550.0,101.22080016246954,101.24,101.195,38704.0,2016-12-09
2016-09-28,101.225,101.21,101.23,101.1,101.2,11653.0,11788294300.0,101.16102548699905,101.195,101.195,38880.0,2016-12-09
2016-09-29,101.2,101.19,101.25,101.13,101.18,9924.0,10041191850.0,101.18089328899637,101.195,101.17,38101.0,2016-12-09
2016-09-30,101.18,101.19,101.25,101.15,101.19,7290.0,7377767400.0,101.20394238683127,101.17,101.2,37675.0,2016-12-09
2016-10-10,101.19,101.41,101.56,101.405,101.535,13061.0,13256725650.0,101.49855026414517,101.2,101.525,38281.0,2016-12-09
2016-10-11,101.535,101.525,101.545,101.37,101.435,13177.0,13365677950.0,101.43187333991044,101.525,101.44,38932.0,2016-12-09
2016-10-12,101.435,101.39,101.41,101.21,101.305,14882.0,15076056050.0,101.30396485687407,101.44,101.28,39989.0,2016-12-09
2016-10-13,101.305,101.255,101.435,101.22,101.41,12475.0,12643302150.0,101.34911543086173,101.28,101.405,40710.0,2016-12-09
2016-10-14,101.41,101.405,101.525,101.315,101.47,15493.0,15713783150.0,101.42505099077002,101.405,101.47,40627.0,2016-12-09
2016-10-17,101.47,101.475,101.54,101.355,101.53,11840.0,12011634600.0,101.44961655405406,101.47,101.5,40557.0,2016-12-09
