,PRE_CLOSE,OPEN,HIGH,LOW,CLOSE,VOLUME,AMT,VWAP,PRE_SETTLE,SETTLE,OI,LTDATE_NEW
2020-06-16,99.715,99.365,99.395,99.105,99.105,89.0,88329100.0,99.24617977528091,99.79,99.15,89.0,2021-03-12
2020-06-17,99.105,99.09,99.26,99.06,99.1,42.0,41633700.0,99.12785714285715,99.15,99.115,98.0,2021-03-12
2020-06-18,99.1,99.32,99.4,99.045,99.26,74.0,73416750.0,99.21182432432433,99.115,99.17,105.0,2021-03-12
2020-06-19,99.26,99.205,99.26,99.075,99.26,54.0,53533950.00000001,99.13694444444447,99.17,99.12,113.0,2021-03-12
2020-06-22,99.26,99.23,99.295,99.135,99.135,72.0,71452800.0,99.24,99.12,99.18,156.0,2021-03-12
2020-06-23,99.135,99.0,99.21,98.955,99.105,95.0,94064250.0,99.015,99.18,99.075,214.0,2021-03-12
2020-06-24,99.105,99.205,99.41,99.18,99.41,25.0,24824800.0,99.2992,99.075,99.38,214.0,2021-03-12
2020-06-29,99.41,99.34,99.46,99.34,99.41,12.0,11928300.0,99.4025,99.38,99.415,215.0,2021-03-12
2020-06-30,99.41,99.26,99.455,99.24,99.455,20.0,19862350.0,99.31175,99.415,99.435,214.0,2021-03-12
2020-07-01,99.455,99.5,99.57,99.41,99.41,10.0,9947700.0,99.477,99.435,99.415,217.0,2021-03-12
2020-07-02,99.41,99.37,99.49,99.36,99.49,9.0,8948400.0,99.42666666666666,99.415,99.48,214.0,2021-03-12
2020-07-03,99.49,99.35,99.38,99.245,99.26,18.0,17874400.0,99.30222222222223,99.48,99.265,225.0,2021-03-12
2020-07-06,99.26,99.02,99.02,98.305,98.32,184.0,181492800.0,98.63739130434783,99.265,98.41,335.0,2021-03-12
2020-07-07,98.32,98.11,98.315,98.0,98.235,155.0,152124650.0,98.14493548387097,98.41,98.265,396.0,2021-03-12
2020-07-08,98.235,98.19,98.19,97.81,97.9,100.0,97974500.0,97.9745,98.265,97.865,463.0,2021-03-12
2020-07-09,97.9,97.76,97.885,97.4,97.7,375.0,366179200.0,97.64778666666668,97.865,97.76,598.0,2021-03-12
2020-07-10,97.7,97.865,98.085,97.84,97.84,65.0,63649350.00000001,97.92207692307694,97.76,97.89,606.0,2021-03-12
2020-07-13,97.84,97.825,97.88,97.575,97.675,184.0,179714000.0,97.67065217391306,97.89,97.66,686.0,2021-03-12
2020-07-14,97.675,97.95,98.025,97.79,97.79,128.0,125336250.0,97.9189453125,97.66,97.85,703.0,2021-03-12
2020-07-15,97.79,97.83,98.13,97.71,98.08,72.0,70540300.0,97.97263888888888,97.85,98.06,719.0,2021-03-12
2020-07-16,98.08,98.015,98.44,98.015,98.305,64.0,62881250.0,98.251953125,98.06,98.32,721.0,2021-03-12
2020-07-17,98.305,98.24,98.43,98.1,98.2,90.0,88425650.0,98.25072222222222,98.32,98.155,736.0,2021-03-12
2020-07-20,98.2,98.0,98.25,97.995,98.21,91.0,89267400.0,98.09604395604396,98.155,98.155,754.0,2021-03-12
2020-07-21,98.21,98.27,98.54,98.235,98.345,58.0,57072800.0,98.40137931034482,98.155,98.3,749.0,2021-03-12
2020-07-22,98.345,98.34,98.69,98.1,98.69,114.0,112163300.0,98.38885964912281,98.3,98.615,726.0,2021-03-12
2020-07-23,98.69,98.55,98.75,98.5,98.68,23.0,22682100.0,98.61782608695651,98.615,98.68,729.0,2021-03-12
2020-07-24,98.68,98.61,98.99,98.575,98.925,257.0,253885300.0,98.78805447470818,98.68,98.865,604.0,2021-03-12
2020-07-27,98.925,98.805,98.86,98.755,98.86,65.0,64223200.0,98.80492307692307,98.865,98.84,624.0,2021-03-12
2020-07-28,98.86,98.6,98.705,98.55,98.575,55.0,54236899.99999999,98.61254545454544,98.84,98.585,624.0,2021-03-12
2020-07-29,98.575,98.655,98.655,98.25,98.295,69.0,67863600.0,98.35304347826086,98.585,98.275,665.0,2021-03-12
2020-07-30,98.295,98.23,98.305,98.19,98.195,23.0,22594250.0,98.2358695652174,98.275,98.205,676.0,2021-03-12
2020-07-31,98.195,98.18,98.18,97.89,97.955,65.0,63707900.0,98.01215384615385,98.205,97.935,703.0,2021-03-12
2020-08-03,97.955,97.855,98.15,97.725,98.05,60.0,58780700.0,97.96783333333333,97.935,98.1,711.0,2021-03-12
2020-08-04,98.05,98.0,98.305,97.97,98.26,68.0,66794399.99999999,98.2270588235294,98.1,98.22,720.0,2021-03-12
2020-08-05,98.26,98.34,98.405,98.0,98.0,77.0,75636000.0,98.22857142857143,98.22,98.04,739.0,2021-03-12
2020-08-06,98.0,97.99,98.1,97.85,97.95,54.0,52911850.00000001,97.98490740740742,98.04,97.925,772.0,2021-03-12
2020-08-07,97.95,97.955,97.955,97.64,97.66,147.0,143723700.0,97.77122448979591,97.925,97.69,873.0,2021-03-12
2020-08-10,97.66,97.71,98.09,97.71,98.09,103.0,100829900.0,97.89310679611651,97.69,98.0,873.0,2021-03-12
2020-08-11,98.09,98.015,98.055,97.85,98.04,64.0,62705400.0,97.9771875,98.0,97.955,891.0,2021-03-12
2020-08-12,98.04,98.0,98.095,97.75,98.02,126.0,123406700.0,97.9418253968254,97.955,97.94,937.0,2021-03-12
2020-08-13,98.02,97.94,98.21,97.93,98.135,95.0,93203799.99999999,98.10926315789472,97.94,98.195,940.0,2021-03-12
2020-08-14,98.135,98.245,98.38,98.19,98.3,39.0,38335400.0,98.29589743589744,98.195,98.3,935.0,2021-03-12
2020-08-17,98.3,98.42,98.45,98.265,98.315,91.0,89480950.0,98.33071428571428,98.3,98.27,914.0,2021-03-12
2020-08-18,98.315,98.21,98.435,98.21,98.28,71.0,69843250.0,98.37077464788732,98.27,98.29,885.0,2021-03-12
2020-08-19,98.28,98.285,98.33,98.0,98.0,48.0,47129150.0,98.18572916666666,98.29,98.09,908.0,2021-03-12
2020-08-20,98.0,98.04,98.095,97.675,97.815,156.0,152599200.0,97.82,98.09,97.77,988.0,2021-03-12
2020-08-21,97.815,97.85,98.025,97.835,97.98,52.0,50923000.0,97.92884615384615,97.77,97.99,982.0,2021-03-12
2020-08-24,97.98,97.925,98.06,97.87,97.88,121.0,118494750.0,97.92954545454546,97.99,97.91,1005.0,2021-03-12
2020-08-25,97.88,97.8,97.8,97.465,97.485,348.0,339525100.0,97.56468390804598,97.91,97.495,1130.0,2021-03-12
2020-08-26,97.485,97.485,97.7,97.29,97.29,277.0,270193400.0,97.54274368231047,97.495,97.4,1229.0,2021-03-12
2020-08-27,97.29,97.38,97.48,97.245,97.405,228.0,221980350.0,97.35980263157894,97.4,97.445,1256.0,2021-03-12
2020-08-28,97.405,97.325,97.43,97.155,97.37,276.0,268537700.0,97.29626811594203,97.445,97.255,1318.0,2021-03-12
2020-08-31,97.37,97.42,97.65,97.42,97.605,609.0,593934700.0,97.52622331691298,97.255,97.605,1443.0,2021-03-12
2020-09-01,97.605,97.605,97.7,97.5,97.54,345.0,336614850.0,97.56952173913044,97.605,97.545,1552.0,2021-03-12
2020-09-02,97.54,97.42,97.445,97.165,97.265,515.0,500995450.0,97.28066990291262,97.545,97.28,1675.0,2021-03-12
2020-09-03,97.265,97.135,97.47,97.09,97.47,1156.0,1123687050.0,97.20476211072663,97.28,97.405,2061.0,2021-03-12
2020-09-04,97.47,97.48,97.52,97.255,97.255,314.0,305860000.0,97.40764331210191,97.405,97.31,2074.0,2021-03-12
2020-09-07,97.255,97.24,97.285,97.055,97.2,823.0,799709250.0,97.17001822600243,97.31,97.12,2267.0,2021-03-12
