,PRE_CLOSE,OPEN,HIGH,LOW,CLOSE,VOLUME,AMT,VWAP,PRE_SETTLE,SETTLE,OI,LTDATE_NEW
2020-03-17,100.275,100.075,100.075,99.885,99.885,39.0,38999200.0,99.99794871794872,100.235,99.92,108.0,2020-12-11
2020-03-18,99.885,99.77,100.29,99.77,100.24,95.0,95030700.0,100.03231578947369,99.92,100.25,108.0,2020-12-11
2020-03-19,100.24,100.1,100.275,99.81,99.81,40.0,40019950.0,100.049875,100.25,99.83,124.0,2020-12-11
2020-03-20,99.81,99.975,100.155,99.965,100.02,34.0,34015100.0,100.04441176470588,99.83,100.005,129.0,2020-12-11
2020-03-23,100.02,100.365,100.495,100.365,100.495,65.0,65282850.0,100.43515384615385,100.005,100.465,126.0,2020-12-11
2020-03-24,100.495,100.415,100.785,100.415,100.62,89.0,89577700.0,100.6491011235955,100.465,100.69,163.0,2020-12-11
2020-03-25,100.62,100.42,100.88,100.42,100.695,239.0,240825750.0,100.76391213389121,100.69,100.675,238.0,2020-12-11
2020-03-26,100.695,100.8,100.955,100.8,100.9,32.0,32292199.999999996,100.913125,100.675,100.9,235.0,2020-12-11
2020-03-27,100.9,100.79,100.79,100.7,100.715,49.0,49365200.00000001,100.745306122449,100.9,100.73,222.0,2020-12-11
2020-03-30,100.715,100.69,100.915,100.585,100.77,180.0,181379750.0,100.76652777777778,100.73,100.78,258.0,2020-12-11
2020-03-31,100.77,100.61,101.09,100.61,101.09,46.0,46429950.0,100.93467391304348,100.78,101.01,273.0,2020-12-11
2020-04-01,101.09,101.2,101.335,101.185,101.275,42.0,42517299.99999999,101.23166666666665,101.01,101.275,263.0,2020-12-11
2020-04-02,101.275,101.15,101.345,101.0,101.01,57.0,57663850.0,101.16464912280702,101.275,101.015,247.0,2020-12-11
2020-04-03,101.01,101.04,101.15,100.705,100.705,33.0,33285600.0,100.86545454545454,101.015,100.72,248.0,2020-12-11
2020-04-07,100.705,101.15,101.865,101.1,101.43,247.0,250621400.0,101.46615384615384,100.72,101.52,313.0,2020-12-11
2020-04-08,101.43,101.46,101.705,101.345,101.7,473.0,479945300.0,101.4683509513742,101.52,101.58,438.0,2020-12-11
2020-04-09,101.7,101.555,101.555,101.275,101.43,141.0,142967200.0,101.39517730496453,101.58,101.385,473.0,2020-12-11
2020-04-10,101.43,101.405,101.44,101.035,101.245,409.0,413999750.0,101.22243276283619,101.385,101.185,582.0,2020-12-11
2020-04-13,101.245,101.19,101.37,101.04,101.33,275.0,278253800.0,101.1832,101.185,101.32,576.0,2020-12-11
2020-04-14,101.33,101.375,101.475,101.24,101.24,155.0,157138150.0,101.37945161290322,101.32,101.285,588.0,2020-12-11
2020-04-15,101.24,101.3,101.575,101.29,101.51,282.0,286104500.0,101.45549645390071,101.285,101.52,557.0,2020-12-11
2020-04-16,101.51,101.58,101.78,101.58,101.62,184.0,187058849.99999997,101.66241847826085,101.52,101.62,555.0,2020-12-11
2020-04-17,101.62,101.6,101.69,101.4,101.4,297.0,301624950.0,101.55722222222222,101.62,101.415,602.0,2020-12-11
2020-04-20,101.4,101.45,101.495,101.095,101.125,264.0,267301600.0,101.25060606060606,101.415,101.135,721.0,2020-12-11
2020-04-21,101.125,101.15,101.255,101.08,101.135,208.0,210429850.0,101.16819711538461,101.135,101.15,788.0,2020-12-11
2020-04-22,101.135,101.18,101.38,101.18,101.285,492.0,498458350.0,101.31267276422764,101.15,101.3,818.0,2020-12-11
2020-04-23,101.285,101.26,101.85,101.11,101.78,720.0,730984500.0,101.525625,101.3,101.78,799.0,2020-12-11
2020-04-24,101.78,101.98,102.18,101.79,102.08,394.0,401708500.0,101.95647208121828,101.78,101.99,795.0,2020-12-11
2020-04-27,102.08,102.03,102.03,101.81,101.94,98.0,99834850.0,101.87229591836734,101.99,101.93,807.0,2020-12-11
2020-04-28,101.94,101.975,102.125,101.93,102.015,74.0,75504950.0,102.03371621621622,101.93,102.08,793.0,2020-12-11
2020-04-29,102.015,102.08,102.24,102.08,102.24,106.0,108281600.0,102.15245283018868,102.08,102.185,790.0,2020-12-11
2020-04-30,102.24,102.18,102.2,101.805,101.83,200.0,203956650.0,101.978325,102.185,101.855,846.0,2020-12-11
2020-05-06,101.83,101.88,101.915,101.45,101.485,218.0,221586800.0,101.64532110091743,101.855,101.505,907.0,2020-12-11
2020-05-07,101.485,101.435,101.435,100.795,100.795,474.0,479272800.0,101.11240506329113,101.505,100.92,1079.0,2020-12-11
2020-05-08,100.795,100.525,101.08,100.525,100.94,538.0,542514950.0,100.83921003717471,100.92,100.94,1139.0,2020-12-11
2020-05-11,100.94,100.905,100.97,100.24,100.33,825.0,829614700.0,100.55935757575757,100.94,100.38,1351.0,2020-12-11
2020-05-12,100.33,100.42,100.75,100.385,100.64,672.0,675938000.0,100.5860119047619,100.38,100.64,1287.0,2020-12-11
2020-05-13,100.64,100.67,100.78,100.39,100.43,310.0,311802750.0,100.58153225806453,100.64,100.445,1338.0,2020-12-11
2020-05-14,100.43,100.45,100.51,100.03,100.45,940.0,942551050.0,100.27138829787233,100.445,100.365,1546.0,2020-12-11
2020-05-15,100.45,100.5,100.7,100.25,100.62,784.0,787375549.9999999,100.43055484693876,100.365,100.615,1655.0,2020-12-11
2020-05-18,100.62,100.595,100.595,100.045,100.08,1098.0,1100233100.0,100.20337887067396,100.615,100.095,2012.0,2020-12-11
2020-05-19,100.08,99.945,100.345,99.78,100.21,573.0,573269750.0,100.04707678883071,100.095,100.29,2097.0,2020-12-11
2020-05-20,100.21,100.25,100.565,100.215,100.415,332.0,333351650.0,100.4071234939759,100.29,100.485,2073.0,2020-12-11
2020-05-21,100.415,100.42,100.68,100.41,100.53,437.0,439500350.00000006,100.5721624713959,100.485,100.565,2047.0,2020-12-11
2020-05-22,100.53,100.7,101.09,100.555,101.09,707.0,713191400.0,100.87572842998586,100.565,100.995,1878.0,2020-12-11
2020-05-25,101.09,101.09,101.09,100.61,100.635,533.0,537029450.0,100.75599437148217,100.995,100.635,1924.0,2020-12-11
2020-05-26,100.635,100.685,100.855,100.16,100.275,1040.0,1044084100.0,100.39270192307693,100.635,100.305,2121.0,2020-12-11
2020-05-27,100.275,100.18,100.44,100.18,100.35,792.0,794478500.0,100.31294191919191,100.305,100.305,2103.0,2020-12-11
2020-05-28,100.35,100.405,100.72,100.37,100.605,1179.0,1185526950.0,100.55360050890586,100.305,100.65,2026.0,2020-12-11
2020-05-29,100.605,100.69,100.78,100.4,100.445,1010.0,1016256400.0,100.61944554455445,100.65,100.47,2080.0,2020-12-11
2020-06-01,100.445,100.505,100.61,100.18,100.25,812.0,815033200.0000001,100.37354679802958,100.47,100.21,2170.0,2020-12-11
2020-06-02,100.25,100.2,100.2,99.82,99.835,1796.0,1795952349.9999998,99.9973468819599,100.21,99.935,2578.0,2020-12-11
2020-06-03,99.835,99.77,99.88,99.405,99.88,3230.0,3218234000.0,99.63572755417957,99.935,99.795,2888.0,2020-12-11
2020-06-04,99.88,99.83,99.865,99.51,99.6,1879.0,1873595799.9999998,99.71238956891963,99.795,99.585,3072.0,2020-12-11
2020-06-05,99.6,99.59,99.705,99.285,99.335,2134.0,2122586000.0,99.4651358950328,99.585,99.34,3342.0,2020-12-11
2020-06-08,99.335,99.44,99.715,99.22,99.625,1733.0,1724103200.0,99.48662435083669,99.34,99.65,3215.0,2020-12-11
2020-06-09,99.625,99.635,99.8,99.525,99.555,1031.0,1027992300.0,99.70827352085354,99.65,99.625,3373.0,2020-12-11
2020-06-10,99.555,99.64,99.73,99.44,99.615,1474.0,1467991800.0,99.59238805970149,99.625,99.54,3461.0,2020-12-11
2020-06-11,99.615,99.645,99.99,99.63,99.89,1281.0,1278325250.0,99.79119828259174,99.54,99.9,3406.0,2020-12-11
2020-06-12,99.89,100.21,100.21,99.99,100.08,1264.0,1265594800.0,100.12617088607595,99.9,100.105,3254.0,2020-12-11
2020-06-15,100.08,100.195,100.415,100.095,100.22,1513.0,1517264150.0,100.28183410442828,100.105,100.305,3177.0,2020-12-11
