,PRE_CLOSE,OPEN,HIGH,LOW,CLOSE,VOLUME,AMT,VWAP,PRE_SETTLE,SETTLE,OI,LTDATE_NEW
2017-03-14,93.56,93.56,93.6,93.365,93.475,209.0,195384250.0,93.4852870813397,93.165,93.495,316.0,2017-12-08
2017-03-15,93.475,93.475,93.62,93.365,93.56,204.0,190748100.0,93.50397058823529,93.495,93.54,422.0,2017-12-08
2017-03-16,93.56,93.87,94.555,93.665,94.205,195.0,183487450.0,94.0961282051282,93.54,94.16,490.0,2017-12-08
2017-03-17,94.205,94.29,94.335,94.1,94.165,154.0,145051250.0,94.18912337662337,94.16,94.19,530.0,2017-12-08
2017-03-20,94.165,94.155,94.405,94.08,94.275,172.0,162142050.0,94.26863372093024,94.19,94.355,587.0,2017-12-08
2017-03-21,94.275,94.21,94.635,94.1,94.635,118.0,111260800.0,94.28881355932204,94.355,94.47,603.0,2017-12-08
2017-03-22,94.635,94.71,94.885,94.525,94.62,145.0,137446900.0,94.79096551724137,94.47,94.615,632.0,2017-12-08
2017-03-23,94.62,94.605,94.95,94.515,94.82,86.0,81407900.0,94.66034883720931,94.615,94.795,657.0,2017-12-08
2017-03-24,94.82,94.885,95.78,94.885,95.665,148.0,141190200.0,95.39878378378378,94.795,95.665,673.0,2017-12-08
2017-03-27,95.665,95.66,95.765,95.48,95.625,155.0,148209700.0,95.61916129032258,95.665,95.595,679.0,2017-12-08
2017-03-28,95.625,95.69,95.78,95.215,95.235,87.0,83035450.0,95.4430459770115,95.595,95.255,689.0,2017-12-08
2017-03-29,95.235,95.435,95.505,95.07,95.18,97.0,92402000.0,95.259793814433,95.255,95.375,700.0,2017-12-08
2017-03-30,95.18,95.08,95.205,94.85,95.1,160.0,152003400.0,95.002125,95.375,94.99,777.0,2017-12-08
2017-03-31,95.1,95.3,95.3,94.9,95.01,122.0,115937650.0,95.0308606557377,94.99,95.0,819.0,2017-12-08
2017-04-05,95.01,95.1,95.37,94.8,94.86,153.0,145499800.0,95.09790849673203,95.0,94.88,843.0,2017-12-08
2017-04-06,94.86,94.99,95.14,94.875,95.1,108.0,102563400.0,94.96611111111112,94.88,95.065,860.0,2017-12-08
2017-04-07,95.1,95.275,95.48,95.205,95.48,224.0,213577650.0,95.34716517857143,95.065,95.365,861.0,2017-12-08
2017-04-10,95.48,95.3,95.315,95.2,95.225,54.0,51441750.0,95.2625,95.365,95.26,881.0,2017-12-08
2017-04-11,95.225,95.165,95.3,95.02,95.3,102.0,97084000.0,95.18039215686275,95.26,95.26,893.0,2017-12-08
