,PRE_CLOSE,OPEN,HIGH,LOW,CLOSE,VOLUME,AMT,VWAP,PRE_SETTLE,SETTLE,OI,LTDATE_NEW
2020-09-15,96.93,97.1,97.31,97.0,97.31,64.0,62150750.0,97.110546875,96.91,97.27,100.0,2021-06-11
2020-09-16,97.31,97.42,97.5,97.26,97.285,53.0,51637050.0,97.4283962264151,97.27,97.305,153.0,2021-06-11
2020-09-17,97.285,97.33,97.33,97.12,97.165,13.0,12641050.0,97.23884615384615,97.305,97.135,156.0,2021-06-11
2020-09-18,97.165,97.25,97.395,97.125,97.125,46.0,44717050.0,97.21097826086957,97.135,97.125,172.0,2021-06-11
2020-09-21,97.125,97.08,97.6,97.08,97.505,120.0,116894050.0,97.41170833333334,97.125,97.51,212.0,2021-06-11
2020-09-22,97.505,97.61,97.77,97.575,97.755,210.0,205105600.0,97.66933333333334,97.51,97.76,255.0,2021-06-11
2020-09-23,97.755,97.63,97.75,97.555,97.595,58.0,56615900.0,97.61362068965518,97.76,97.585,259.0,2021-06-11
2020-09-24,97.595,97.73,97.73,97.51,97.61,24.0,23434550.0,97.64395833333333,97.585,97.635,268.0,2021-06-11
2020-09-25,97.61,97.61,97.61,97.38,97.38,19.0,18523350.0,97.49131578947369,97.635,97.39,282.0,2021-06-11
2020-09-28,97.38,97.3,97.565,97.3,97.565,66.0,64321500.0,97.45681818181818,97.39,97.515,332.0,2021-06-11
2020-09-29,97.565,97.585,97.595,97.335,97.375,121.0,117969550.0,97.4954958677686,97.515,97.365,427.0,2021-06-11
2020-09-30,97.375,97.475,97.49,97.095,97.095,131.0,127334550.0,97.2019465648855,97.365,97.14,469.0,2021-06-11
2020-10-09,97.095,96.97,97.06,96.85,96.85,218.0,211335000.0,96.94266055045871,97.14,96.885,616.0,2021-06-11
2020-10-12,96.85,96.805,97.02,96.77,96.98,198.0,191807800.0,96.87262626262626,96.885,96.99,724.0,2021-06-11
2020-10-13,96.98,96.955,97.025,96.885,96.91,87.0,84326650.00000001,96.92718390804599,96.99,96.905,757.0,2021-06-11
2020-10-14,96.91,96.84,96.95,96.75,96.835,117.0,113277350.0,96.81824786324786,96.905,96.795,825.0,2021-06-11
2020-10-15,96.835,96.905,96.955,96.7,96.75,74.0,71617250.0,96.78006756756756,96.795,96.775,869.0,2021-06-11
2020-10-16,96.75,96.755,96.85,96.68,96.83,69.0,66752900.0,96.74333333333334,96.775,96.825,885.0,2021-06-11
2020-10-19,96.83,96.855,97.135,96.835,97.075,99.0,96028250.0,96.99823232323233,96.825,97.08,880.0,2021-06-11
2020-10-20,97.075,97.13,97.2,96.935,97.2,36.0,34935400.0,97.04277777777777,97.08,97.14,889.0,2021-06-11
2020-10-21,97.2,97.095,97.3,97.095,97.18,42.0,40823450.0,97.19869047619048,97.14,97.17,912.0,2021-06-11
