,PRE_CLOSE,OPEN,HIGH,LOW,CLOSE,VOLUME,AMT,VWAP,PRE_SETTLE,SETTLE,OI,LTDATE_NEW
2022-06-14,99.715,99.655,99.655,99.565,99.635,207.0,206193200.0,99.61024154589371,99.695,99.615,183.0,2023-03-10
2022-06-15,99.635,99.595,99.595,99.465,99.51,90.0,89577099.99999999,99.53011111111108,99.615,99.495,251.0,2023-03-10
2022-06-16,99.51,99.54,99.6,99.53,99.6,22.0,21902600.000000004,99.55727272727275,99.495,99.555,257.0,2023-03-10
2022-06-17,99.6,99.62,99.695,99.62,99.65,70.0,69750850.0,99.64407142857144,99.555,99.64,272.0,2023-03-10
2022-06-20,99.65,99.54,99.56,99.45,99.45,87.0,86553550.0,99.48683908045977,99.64,99.475,317.0,2023-03-10
2022-06-21,99.45,99.45,99.495,99.4,99.43,90.0,89497700.0,99.44188888888888,99.475,99.405,368.0,2023-03-10
2022-06-22,99.43,99.475,99.51,99.445,99.51,37.0,36812000.0,99.4918918918919,99.405,99.495,370.0,2023-03-10
2022-06-23,99.51,99.56,99.56,99.5,99.51,75.0,74648000.0,99.53066666666666,99.495,99.525,392.0,2023-03-10
2022-06-24,99.51,99.52,99.52,99.36,99.36,374.0,371763200.0,99.40192513368984,99.525,99.38,710.0,2023-03-10
2022-06-27,99.36,99.3,99.3,98.98,98.985,230.0,227899900.00000003,99.08691304347828,99.38,99.02,814.0,2023-03-10
2022-06-28,98.985,99.065,99.07,98.885,98.905,643.0,636539500.0,98.9952566096423,99.02,98.905,1220.0,2023-03-10
2022-06-29,98.905,98.97,99.005,98.92,98.925,400.0,395909150.0,98.9772875,98.905,98.98,1325.0,2023-03-10
2022-06-30,98.925,98.905,99.2,98.905,99.19,155.0,153639100.0,99.122,98.98,99.165,1362.0,2023-03-10
2022-07-01,99.19,99.155,99.19,99.065,99.15,101.0,100109050.0,99.11787128712871,99.165,99.14,1378.0,2023-03-10
2022-07-04,99.15,99.055,99.055,98.825,98.87,161.0,159203850.0,98.88437888198759,99.14,98.845,1451.0,2023-03-10
2022-07-05,98.87,98.82,98.96,98.79,98.96,131.0,129547200.0,98.8909923664122,98.845,98.93,1493.0,2023-03-10
2022-07-06,98.96,99.01,99.09,99.0,99.04,157.0,155488400.0,99.0371974522293,98.93,99.04,1558.0,2023-03-10
2022-07-07,99.04,99.045,99.125,99.005,99.02,220.0,217999400.0,99.09063636363636,99.04,99.07,1647.0,2023-03-10
2022-07-08,99.02,99.03,99.07,98.965,98.98,331.0,327755400.0,99.01975830815711,99.07,98.98,1755.0,2023-03-10
2022-07-11,98.98,99.1,99.29,99.1,99.29,186.0,184489900.00000003,99.1881182795699,98.98,99.24,1804.0,2023-03-10
2022-07-12,99.29,99.305,99.365,99.28,99.365,113.0,112223050.0,99.31243362831859,99.24,99.315,1778.0,2023-03-10
2022-07-13,99.365,99.425,99.45,99.38,99.425,278.0,276383400.0,99.41848920863309,99.315,99.415,1863.0,2023-03-10
2022-07-14,99.425,99.45,99.595,99.45,99.595,243.0,241850099.99999997,99.52679012345678,99.415,99.57,1907.0,2023-03-10
2022-07-15,99.595,99.66,99.735,99.555,99.725,267.0,265973800.0,99.61565543071161,99.57,99.66,1924.0,2023-03-10
2022-07-18,99.725,99.74,99.74,99.605,99.7,118.0,117599850.0,99.66088983050848,99.66,99.66,1909.0,2023-03-10
2022-07-19,99.7,99.58,99.645,99.565,99.625,377.0,375484700.0,99.59806366047745,99.66,99.59,1970.0,2023-03-10
2022-07-20,99.625,99.56,99.8,99.56,99.8,240.0,239178500.0,99.65770833333333,99.59,99.72,1989.0,2023-03-10
2022-07-21,99.8,99.8,99.91,99.8,99.86,329.0,328553550.00000006,99.86430091185413,99.72,99.875,1942.0,2023-03-10
2022-07-22,99.86,99.8,99.855,99.75,99.8,76.0,75844200.0,99.795,99.875,99.81,1988.0,2023-03-10
2022-07-25,99.8,99.775,99.9,99.755,99.785,217.0,216628100.0,99.82861751152073,99.81,99.81,2015.0,2023-03-10
2022-07-26,99.785,99.85,99.995,99.815,99.995,53.0,52929850.0,99.86764150943397,99.81,99.95,2002.0,2023-03-10
2022-07-27,99.995,100.0,100.0,99.88,99.88,61.0,60959000.0,99.9327868852459,99.95,99.895,2015.0,2023-03-10
2022-07-28,99.88,99.83,99.83,99.7,99.715,341.0,340093100.0,99.73404692082111,99.895,99.725,2161.0,2023-03-10
2022-07-29,99.715,100.05,100.125,99.925,100.07,203.0,203103600.0,100.05103448275862,99.725,100.065,2177.0,2023-03-10
2022-08-01,100.07,100.255,100.35,100.2,100.335,217.0,217630800.00000003,100.29069124423964,100.065,100.335,2181.0,2023-03-10
2022-08-02,100.335,100.415,100.44,100.33,100.385,257.0,257951500.0,100.37023346303502,100.335,100.35,2170.0,2023-03-10
2022-08-03,100.385,100.265,100.48,100.235,100.465,823.0,826274600.0000001,100.39788578371812,100.35,100.45,2655.0,2023-03-10
2022-08-04,100.465,100.48,100.58,100.315,100.34,1675.0,1683216350.0,100.49052835820896,100.45,100.39,3223.0,2023-03-10
2022-08-05,100.34,100.375,100.415,100.27,100.28,703.0,705376000.0,100.3379800853485,100.39,100.295,3653.0,2023-03-10
2022-08-08,100.28,100.28,100.39,100.22,100.265,1191.0,1194329100.0,100.27952141057935,100.295,100.24,4453.0,2023-03-10
2022-08-09,100.265,100.285,100.325,100.14,100.295,2265.0,2270393750.0,100.23813465783665,100.24,100.23,5785.0,2023-03-10
2022-08-10,100.295,100.34,100.425,100.1,100.1,1531.0,1535529350.0,100.29584258654474,100.23,100.25,6356.0,2023-03-10
2022-08-11,100.1,100.15,100.3,100.15,100.26,1235.0,1237854350.0,100.23112145748988,100.25,100.245,6666.0,2023-03-10
2022-08-12,100.26,100.34,100.35,100.15,100.21,1935.0,1939447349.9999998,100.22983720930232,100.245,100.18,6737.0,2023-03-10
2022-08-15,100.21,100.55,101.01,100.525,100.98,2694.0,2715441800.0,100.79590942835931,100.18,100.93,7294.0,2023-03-10
2022-08-16,100.98,101.0,101.17,101.0,101.035,1172.0,1184687250.0,101.08252986348123,100.93,101.07,7514.0,2023-03-10
2022-08-17,101.035,100.86,101.115,100.86,101.105,930.0,939800750.0,101.05384408602151,101.07,101.085,7265.0,2023-03-10
2022-08-18,101.105,101.22,101.265,101.155,101.18,420.0,425043949.99999994,101.20094047619047,101.085,101.185,7242.0,2023-03-10
2022-08-19,101.18,101.18,101.195,101.025,101.125,406.0,410551000.0,101.12093596059113,101.185,101.125,7195.0,2023-03-10
2022-08-22,101.125,101.225,101.255,101.025,101.06,442.0,446746449.99999994,101.07385746606333,101.125,101.055,7181.0,2023-03-10
2022-08-23,101.06,100.97,101.06,100.945,100.965,369.0,372641750.0,100.9869241192412,101.055,100.98,7139.0,2023-03-10
2022-08-24,100.965,100.99,101.065,100.945,101.06,253.0,255598000.0,101.02687747035574,100.98,101.04,7106.0,2023-03-10
2022-08-25,101.06,100.96,100.96,100.795,100.82,831.0,838196050.0,100.86595066185319,101.04,100.805,7277.0,2023-03-10
2022-08-26,100.82,100.85,100.915,100.765,100.88,284.0,286403900.0,100.84644366197183,100.805,100.875,7345.0,2023-03-10
2022-08-29,100.88,100.835,100.99,100.785,100.99,656.0,661741100.0,100.87516768292683,100.875,100.955,7420.0,2023-03-10
2022-08-30,100.99,101.09,101.1,100.935,101.015,567.0,572805900.0,101.02396825396825,100.955,100.985,7437.0,2023-03-10
2022-08-31,101.015,101.015,101.045,100.925,100.96,535.0,540272050.0,100.98542990654205,100.985,100.98,7488.0,2023-03-10
2022-09-01,100.96,100.96,101.22,100.94,101.2,1752.0,1771308700.0,101.10209474885845,100.98,101.18,7553.0,2023-03-10
2022-09-02,101.2,101.245,101.395,101.105,101.125,2652.0,2685040800.0,101.24588235294118,101.18,101.165,7593.0,2023-03-10
2022-09-05,101.125,101.22,101.31,101.175,101.23,2239.0,2266928500.0,101.24736489504242,101.165,101.22,7735.0,2023-03-10
2022-09-06,101.23,101.31,101.34,101.175,101.27,2122.0,2148898400.0,101.26759660697455,101.22,101.22,7760.0,2023-03-10
2022-09-07,101.27,101.21,101.285,101.105,101.105,2409.0,2437888300.0,101.19918223329182,101.22,101.14,7838.0,2023-03-10
2022-09-08,101.105,101.1,101.13,101.03,101.11,1640.0,1657743800.0,101.08193902439025,101.14,101.1,8128.0,2023-03-10
2022-09-09,101.11,101.095,101.175,100.835,100.835,2531.0,2556971100.0,101.02612011062821,101.1,100.95,8308.0,2023-03-10
2022-09-13,100.835,100.87,100.955,100.85,100.91,2077.0,2095933000.0,100.91155512758787,100.95,100.915,8203.0,2023-03-10
2022-09-14,100.91,100.84,100.87,100.77,100.795,2303.0,2321958050.0,100.8231893182805,100.915,100.84,8582.0,2023-03-10
2022-09-15,100.795,100.86,100.925,100.77,100.79,2042.0,2059169150.0,100.84080068560235,100.84,100.82,8805.0,2023-03-10
2022-09-16,100.79,101.04,101.04,100.605,100.765,1997.0,2011214500.0,100.71179268903356,100.82,100.755,9003.0,2023-03-10
2022-09-19,100.765,100.81,100.845,100.715,100.835,1941.0,1955955550.0,100.77050747037609,100.755,100.81,9387.0,2023-03-10
2022-09-20,100.835,100.92,100.985,100.84,100.97,1729.0,1744763250.0,100.9116975130133,100.81,100.95,9657.0,2023-03-10
2022-09-21,100.97,100.955,101.03,100.935,101.025,1118.0,1128943050.0,100.97880590339894,100.95,101.0,9744.0,2023-03-10
2022-09-22,101.025,101.065,101.065,100.95,100.98,1383.0,1396634849.9999998,100.98588937093274,101.0,100.975,9869.0,2023-03-10
2022-09-23,100.98,100.915,100.925,100.745,100.79,1388.0,1399429450.0,100.82344740634005,100.975,100.77,10123.0,2023-03-10
2022-09-26,100.79,100.6,100.695,100.415,100.45,2294.0,2307043850.0,100.56860723626852,100.77,100.49,10152.0,2023-03-10
2022-09-27,100.45,100.44,100.55,100.385,100.545,1833.0,1841374100.0,100.45685215493725,100.49,100.49,10399.0,2023-03-10
2022-09-28,100.545,100.43,100.43,100.315,100.365,2674.0,2683795200.0,100.36631264023934,100.49,100.375,10475.0,2023-03-10
2022-09-29,100.365,100.465,100.51,100.12,100.14,4185.0,4197140600.0,100.29009796893668,100.375,100.155,10432.0,2023-03-10
2022-09-30,100.14,100.0,100.24,99.96,100.08,4788.0,4793007950.0,100.10459377610694,100.155,100.1,10646.0,2023-03-10
2022-10-10,100.08,100.1,100.4,100.1,100.4,3394.0,3404601550.0000005,100.31236152033,100.1,100.35,10831.0,2023-03-10
2022-10-11,100.4,100.475,100.48,100.3,100.36,2341.0,2350294050.0,100.39701196070055,100.35,100.35,10943.0,2023-03-10
2022-10-12,100.36,100.29,100.81,100.29,100.565,6848.0,6881964449.999999,100.4959761974299,100.35,100.59,11180.0,2023-03-10
2022-10-13,100.565,100.56,100.665,100.48,100.615,4811.0,4839528200.0,100.59297859072957,100.59,100.62,11985.0,2023-03-10
2022-10-14,100.615,100.65,100.925,100.615,100.92,5751.0,5795434150.0,100.77263345505129,100.62,100.855,12889.0,2023-03-10
2022-10-17,100.92,100.855,100.895,100.78,100.825,4145.0,4179850300.0000005,100.84077925211099,100.855,100.835,13132.0,2023-03-10
2022-10-18,100.825,100.825,100.89,100.745,100.84,3507.0,3535723300.0,100.81902765896778,100.835,100.86,13251.0,2023-03-10
2022-10-19,100.84,100.83,100.915,100.785,100.85,4878.0,4920400450.0,100.86921791717917,100.86,100.865,13865.0,2023-03-10
2022-10-20,100.85,100.775,100.81,100.565,100.7,6933.0,6980530400.0,100.6855675753642,100.865,100.665,14107.0,2023-03-10
2022-10-21,100.7,100.65,100.77,100.6,100.61,4331.0,4360475150.0,100.6805622258139,100.665,100.635,14570.0,2023-03-10
2022-10-24,100.61,100.67,100.85,100.535,100.815,6227.0,6273731700.0,100.75046892564637,100.635,100.82,14695.0,2023-03-10
2022-10-25,100.815,100.815,100.885,100.635,100.69,9315.0,9387411550.0,100.77736500268384,100.82,100.69,15163.0,2023-03-10
2022-10-26,100.69,100.69,100.915,100.69,100.91,6159.0,6209137800.0,100.81405747686313,100.69,100.86,16981.0,2023-03-10
