,PRE_CLOSE,OPEN,HIGH,LOW,CLOSE,VOLUME,AMT,VWAP,PRE_SETTLE,SETTLE,OI,LTDATE_NEW
2015-03-27,97.58,96.98,97.275,96.98,97.275,4.0,3883700.0,97.0925,97.09,97.13,17.0,2016-03-11
2015-03-30,97.275,98.39,98.39,97.0,97.2,12.0,11697349.999999998,97.47791666666664,97.13,97.265,19.0,2016-03-11
2015-03-31,97.2,98.39,98.39,97.0,97.2,0.0,0.0,97.47791666666664,97.265,96.885,19.0,2016-03-11
2015-04-01,97.2,98.39,98.39,97.0,97.2,0.0,0.0,97.47791666666664,96.885,97.165,19.0,2016-03-11
2015-04-02,97.2,98.39,98.39,97.0,97.2,0.0,0.0,97.47791666666664,97.165,97.465,19.0,2016-03-11
2015-04-03,97.2,98.39,98.39,97.0,97.2,0.0,0.0,97.47791666666664,97.465,97.265,19.0,2016-03-11
2015-04-07,97.2,97.175,97.2,96.755,97.2,3.0,2911300.0,97.04333333333334,97.265,97.2,19.0,2016-03-11
2015-04-08,97.2,96.5,96.835,96.18,96.83,6.0,5797100.0,96.61833333333334,97.2,96.64,22.0,2016-03-11
2015-04-09,96.83,96.975,96.975,96.05,96.2,13.0,12500150.000000002,96.15500000000002,96.64,96.2,31.0,2016-03-11
2015-04-10,96.2,96.975,96.975,96.05,96.2,0.0,0.0,96.15500000000002,96.2,96.17,31.0,2016-03-11
2015-04-13,96.2,96.38,96.38,96.38,96.38,4.0,3855200.0,96.38,96.17,96.38,32.0,2016-03-11
2015-04-14,96.38,96.7,96.7,96.7,96.7,4.0,3868000.0,96.7,96.38,96.7,36.0,2016-03-11
2015-04-15,96.7,96.88,96.88,96.88,96.88,10.0,9688000.0,96.88,96.7,96.88,39.0,2016-03-11
2015-04-16,96.88,96.88,96.88,96.88,96.88,0.0,0.0,96.88,96.88,97.015,39.0,2016-03-11
2015-04-17,96.88,96.88,96.88,96.88,96.88,0.0,0.0,96.88,97.015,97.125,39.0,2016-03-11
2015-04-20,96.88,97.4,98.395,97.4,98.395,16.0,15600650.0,97.5040625,97.125,97.945,37.0,2016-03-11
2015-04-21,98.395,97.4,98.395,97.4,98.395,0.0,0.0,97.5040625,97.945,98.22,37.0,2016-03-11
2015-04-22,98.395,97.945,98.1,97.945,98.1,3.0,2939900.0,97.99666666666667,98.22,98.1,38.0,2016-03-11
2015-04-23,98.1,98.465,98.465,97.7,97.7,2.0,1961650.0,98.0825,98.1,97.7,38.0,2016-03-11
2015-04-24,97.7,97.73,98.06,97.35,98.06,3.0,2931400.0,97.71333333333334,97.7,97.71,39.0,2016-03-11
2015-04-27,98.06,98.205,98.205,98.205,98.205,1.0,982050.0,98.205,97.71,98.205,40.0,2016-03-11
2015-04-28,98.205,98.25,98.25,98.25,98.25,1.0,982500.0,98.25,98.205,98.25,40.0,2016-03-11
2015-04-29,98.25,98.25,98.25,98.25,98.25,0.0,0.0,98.25,98.25,98.24,40.0,2016-03-11
2015-04-30,98.25,98.395,98.595,98.135,98.47,15.0,14750700.0,98.338,98.24,98.505,41.0,2016-03-11
2015-05-04,98.47,98.395,98.595,98.135,98.47,0.0,0.0,98.338,98.505,98.1,41.0,2016-03-11
2015-05-05,98.47,98.095,98.095,98.095,98.095,1.0,980950.0,98.095,98.1,98.095,41.0,2016-03-11
2015-05-06,98.095,97.955,97.955,97.825,97.825,2.0,1957800.0,97.89,98.095,97.89,42.0,2016-03-11
2015-05-07,97.825,97.995,97.995,97.995,97.995,1.0,979950.0,97.995,97.89,97.995,43.0,2016-03-11
2015-05-08,97.995,97.995,97.995,97.995,97.995,0.0,0.0,97.995,97.995,98.315,43.0,2016-03-11
2015-05-11,97.995,98.1,98.1,98.1,98.1,1.0,981000.0,98.1,98.315,98.1,44.0,2016-03-11
2015-05-12,98.1,97.815,97.865,97.815,97.865,2.0,1956800.0,97.84,98.1,97.865,44.0,2016-03-11
2015-05-13,97.865,97.83,98.18,97.83,98.175,7.0,6868850.0,98.12642857142856,97.865,98.175,43.0,2016-03-11
2015-05-14,98.175,97.83,98.18,97.83,98.175,0.0,0.0,98.12642857142856,98.175,98.02,43.0,2016-03-11
2015-05-15,98.175,97.83,98.18,97.83,98.175,0.0,0.0,98.12642857142856,98.02,98.06,43.0,2016-03-11
2015-05-18,98.175,97.715,97.715,97.65,97.7,7.0,6836900.000000001,97.67000000000002,98.06,97.67,48.0,2016-03-11
2015-05-19,97.7,97.735,97.735,97.545,97.545,3.0,2928250.0,97.60833333333333,97.67,97.605,48.0,2016-03-11
2015-05-20,97.545,97.75,97.875,97.75,97.875,2.0,1956250.0,97.8125,97.605,97.875,47.0,2016-03-11
2015-05-21,97.875,97.75,97.875,97.75,97.875,0.0,0.0,97.8125,97.875,97.715,47.0,2016-03-11
2015-05-22,97.875,97.75,97.875,97.75,97.875,0.0,0.0,97.8125,97.715,97.735,47.0,2016-03-11
2015-05-25,97.875,97.75,97.875,97.75,97.875,0.0,0.0,97.8125,97.735,97.53,47.0,2016-03-11
2015-05-26,97.875,96.92,97.165,96.915,97.165,4.0,3879200.0,96.98,97.53,96.98,47.0,2016-03-11
2015-05-27,97.165,96.92,97.165,96.915,97.165,0.0,0.0,96.98,96.98,97.18,47.0,2016-03-11
2015-05-28,97.165,96.115,96.115,96.115,96.115,1.0,961150.0,96.115,97.18,96.115,46.0,2016-03-11
2015-05-29,96.115,96.115,96.115,96.115,96.115,0.0,0.0,96.115,96.115,95.975,46.0,2016-03-11
2015-06-01,96.115,94.415,95.555,94.415,95.555,14.0,13320700.0,95.14785714285715,95.975,95.145,50.0,2016-03-11
2015-06-02,95.555,95.555,95.555,95.385,95.385,2.0,1909400.0,95.47,95.145,95.47,48.0,2016-03-11
2015-06-03,95.385,95.85,95.9,95.85,95.9,8.0,7669250.0,95.865625,95.47,95.9,46.0,2016-03-11
2015-06-04,95.9,95.91,95.91,95.91,95.91,2.0,1918200.0,95.91,95.9,95.91,46.0,2016-03-11
