,PRE_CLOSE,OPEN,HIGH,LOW,CLOSE,VOLUME,AMT,VWAP,PRE_SETTLE,SETTLE,OI,LTDATE_NEW
2019-09-18,97.905,97.86,97.86,97.66,97.66,18.0,17589600.0,97.72,97.935,97.685,46.0,2020-06-12
2019-09-19,97.66,97.77,97.81,97.74,97.75,10.0,9776900.0,97.769,97.685,97.745,50.0,2020-06-12
2019-09-20,97.75,97.76,97.885,97.755,97.885,11.0,10761099.999999998,97.8281818181818,97.745,97.87,52.0,2020-06-12
2019-09-23,97.885,97.76,97.885,97.755,97.885,0.0,0.0,97.8281818181818,97.87,97.85,52.0,2020-06-12
2019-09-24,97.885,97.8,97.82,97.7,97.8,6.0,5866000.0,97.76666666666667,97.85,97.81,57.0,2020-06-12
2019-09-25,97.8,97.7,97.84,97.68,97.84,64.0,62532350.0,97.706796875,97.81,97.83,73.0,2020-06-12
2019-09-26,97.84,97.74,97.795,97.57,97.57,25.0,24418950.0,97.6758,97.83,97.585,85.0,2020-06-12
2019-09-27,97.57,97.63,97.63,97.46,97.5,29.0,28289300.0,97.54931034482759,97.585,97.485,95.0,2020-06-12
2019-09-30,97.5,97.525,97.64,97.415,97.64,16.0,15601800.0,97.51125,97.485,97.54,99.0,2020-06-12
2019-10-08,97.64,97.68,97.85,97.675,97.85,14.0,13683699.999999998,97.74071428571428,97.54,97.845,102.0,2020-06-12
2019-10-09,97.85,97.885,97.895,97.805,97.805,13.0,12721550.0,97.85807692307692,97.845,97.81,110.0,2020-06-12
2019-10-10,97.805,97.805,97.805,97.73,97.73,3.0,2932750.0,97.75833333333334,97.81,97.735,111.0,2020-06-12
2019-10-11,97.73,97.57,97.57,97.4,97.455,45.0,43870750.0,97.49055555555555,97.735,97.45,125.0,2020-06-12
2019-10-14,97.455,97.3,97.48,97.3,97.475,33.0,32142100.0,97.40030303030302,97.45,97.475,134.0,2020-06-12
2019-10-15,97.475,97.455,97.535,97.43,97.5,171.0,166673950.0,97.4701461988304,97.475,97.505,175.0,2020-06-12
2019-10-16,97.5,97.59,97.59,97.42,97.44,114.0,111180200.0,97.52649122807019,97.505,97.455,243.0,2020-06-12
2019-10-17,97.44,97.535,97.645,97.505,97.595,64.0,62437150.0,97.558046875,97.455,97.625,295.0,2020-06-12
2019-10-18,97.595,97.645,97.645,97.355,97.37,200.0,194919400.0,97.4597,97.625,97.375,437.0,2020-06-12
